UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B049,BGEM-0052-S,1109.0,9.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,66.3537746853206,5.779668966676709,69.21870333033529,138.810467291772,166.93249624437598
B050,BGEM-0055-S,1142.0,42.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,76.019509345706,8.131141080430139,70.7811169935365,162.540998624672,205.612714010575
B051,BGEM-0056-S,1061.0,11.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,71.8492125365881,8.6176525522412,74.6871511515393,154.630821513705,197.298274677654
B052,BGEM-0057-S,1161.0,11.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,74.6164188304888,9.144706646703169,75.8589613989402,155.007496614228,199.467258851459
B053,BGEM-0059-S,1331.0,31.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,70.60202096750609,7.52300174066633,82.10861605174479,173.46457653981702,213.565655981195
B054,BGEM-0060-S,1107.0,7.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,73.44717673447441,8.77982304284488,90.3112877835508,181.374753650783,223.32608476332
B055,BGEM-0061-N,1118.0,18.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,60.5855136783164,7.077032891506191,87.5770638729488,168.94447533355,201.274745662964
B056,BGEM-0062-N,1256.0,6.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,75.04514093236071,7.44191649536448,79.76499555694299,165.55439942885,210.312179720487
B057,BGEM-0063-N,1272.0,22.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,80.6575029932297,6.671606664996981,98.1233560995565,209.62538618994998,248.26940276208302
B058,BGEM-0064-N,1159.0,9.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,69.90047570989749,5.82021158932763,108.669648326164,191.544981364883,228.02555047323202
B059,BGEM-0065-N,1015.0,15.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,67.1722441525307,6.87431977825158,105.15421758396201,184.388154454961,224.772074212523
B060,BGEM-0066-N,1137.0,37.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,75.2789893515636,7.32028862741172,70.3905135777362,147.47399460378298,189.706830069334
B061,BGEM-0067-S,1241.0,41.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,73.5251262075421,8.65819517489212,74.2965477357391,167.43777493146098,206.697206097477
B062,BGEM-0068-S,1077.0,27.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,76.2923325014427,8.69873779754304,72.3435306567376,163.29434882571698,201.274745662964
B064,BGEM-0069-S,1019.0,19.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,74.8892419862255,8.739280420193959,82.8898228833453,174.217926740861,216.09613751730097
B065,BGEM-0070-S,1102.0,2.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,67.4840420448012,7.7257148539209295,55.156980361525,147.47399460378298,183.92287227251998
B066,BGEM-0071-S,1231.0,31.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,67.36711783519969,8.45548206163751,85.2334433781471,159.527597820494,199.82875621376
