"genotype","CHL_LN","CHL_HN"
"BGEM-0304-N",297.4438462933,287.169288053717
"BGEM-0305-S",309.452130307967,340.692168286609
"BGEM-0306-S",373.452306443286,452.612108977829
"BGEM-0307-S",311.413278857315,453.305902582523
"BGEM-0308-S",316.481867479375,482.87937908274
"BGEM-0309-S",322.033534888521,384.719911410485
"BGEM-0310-S",353.9894959685,478.574009717448
"BGEM-0311-N",338.772754124141,401.043236168456
"BGEM-0312-S",322.898171586605,327.9325071928
"BGEM-0313-S",393.53997234197,376.021969973857
"BGEM-0314-S",244.095755304173,416.196611092422
"BGEM-0315-S",372.465381527634,478.155391399537
"BGEM-0316-S",316.263066839634,328.988329952803
"BGEM-0317-S",350.248491246342,444.545665152961
"BGEM-0318-S",286.434203429962,408.080374529861
"BGEM-0319-S",336.049790218836,427.690141225724
"BGEM-0320-N",364.93907082046,407.667565780762
"BGEM-0321-S",304.279198534051,494.276845674044
"BGEM-0322-S",318.007863312179,399.720048704973
"BGEM-0323-S",422.594264099155,419.03439492225
"BGEM-0324-N",320.973394413171,345.178430520281
"BGEM-0325-N",315.161135350913,434.672790957801
"BGEM-0326-N",309.775551166835,349.92184934
"BGEM-0327-N",291.273788234025,361.392873157373
"BGEM-0328-S",325.34600769676,382.2005168581
"Mo17",345.221890464784,407.118713051078
