,PLOT ID,rows,ranges,Block,Rep,Group,Trt,year,genotype,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height,Row,Ran.,Leaf Length 1,Leaf Width 1,Leaf Length 2,Leaf Width 2,Ear Height 1,Flag Leaf Height 1,Plant Height 1,Ear Height 2,Flag Leaf Height 2,Plant Height 2,Yang Field Notes,Inbred or Hybrid?,Data missing?
38,1039,39,1,1,1,Inbred,HN,2022,BGEM-0039-N,BGEM_Short_early,0.0,1.0,69.2,8.0,79.5,172.0,215.0,39,1,,,69.2,8.0,79.0,168.0,219.0,80.0,176.0,211.0,,Inbred,
39,1040,40,1,1,1,Inbred,HN,2022,BGEM-0080-S,BGEM_Short_early,0.0,1.0,62.75,8.4,74.0,179.0,215.0,40,1,64.5,8.3,61.0,8.5,78.0,178.0,210.0,70.0,180.0,220.0,,Inbred,
40,1041,41,1,1,1,Inbred,HN,2022,B73,BGEM_Short_early,0.0,1.0,78.5,8.95,83.5,173.5,208.5,41,1,80.0,9.0,77.0,8.9,78.0,171.0,198.0,89.0,176.0,219.0,,Inbred,
41,1042,42,1,1,1,Inbred,HN,2022,BGEM-0179-S,BGEM_Short_early,0.0,1.0,74.25,9.649999999999999,96.0,196.0,240.5,42,1,74.0,10.2,74.5,9.1,92.0,195.0,241.0,100.0,197.0,240.0,,Inbred,
42,1043,43,1,1,1,Inbred,HN,2022,BGEM-0214-S,BGEM_Short_early,0.0,1.0,71.55,8.05,74.5,165.0,200.0,43,1,70.5,7.5,72.6,8.6,69.0,170.0,200.0,80.0,160.0,200.0,,Inbred,
43,1044,44,1,1,1,Inbred,HN,2022,BGEM-0109-N,BGEM_Short_early,0.0,2.0,51.35,6.2,59.0,135.0,163.5,44,1,51.7,6.4,51.0,6.0,58.0,130.0,160.0,60.0,140.0,167.0,,Inbred,
44,1045,45,1,1,1,Inbred,HN,2022,BGEM-0082-S,BGEM_Short_early,0.0,2.0,67.75,8.75,37.5,113.5,145.5,45,1,67.5,8.7,68.0,8.8,40.0,119.0,151.0,35.0,108.0,140.0,,Inbred,
45,1046,46,1,1,1,Inbred,HN,2022,BGEM-0114-S,BGEM_Short_early,0.0,2.0,70.6,7.7,67.5,155.0,194.5,46,1,69.0,7.5,72.2,7.9,70.0,150.0,187.0,65.0,160.0,202.0,,Inbred,
46,1047,47,1,1,1,Inbred,HN,2022,BGEM-0222-S,BGEM_Short_early,0.0,2.0,58.5,7.85,73.0,149.5,185.0,47,1,57.0,7.5,60.0,8.2,78.0,151.0,188.0,68.0,148.0,182.0,,Inbred,
47,1048,48,1,1,1,Inbred,HN,2022,BGEM-0079-S,BGEM_Short_early,0.0,2.0,75.25,8.6,59.5,170.0,211.5,48,1,78.5,8.7,72.0,8.5,50.0,170.0,211.0,69.0,170.0,212.0,,Inbred,
48,1049,49,1,1,1,Inbred,HN,2022,Mo17,BGEM_Short_early,0.0,1.0,55.85,8.600000000000001,72.0,135.0,179.5,49,1,51.7,8.8,60.0,8.4,65.0,130.0,177.0,79.0,140.0,182.0,,Inbred,
49,1050,50,1,1,1,Inbred,HN,2022,BGEM-0099-S,BGEM_Short_early,0.0,1.0,60.0,7.6,70.0,130.0,163.0,50,1,60.0,7.6,,,70.0,130.0,163.0,,,,,Inbred,
50,1051,1,2,1,1,Inbred,HN,2022,BGEM-0160-S,BGEM_Tall_late,0.0,2.0,55.05,8.1,92.0,163.0,199.0,1,2,63.5,8.0,46.6,8.2,88.0,161.0,200.0,96.0,165.0,198.0,,Inbred,
51,1052,2,2,1,1,Inbred,HN,2022,BGEM-0172-S,BGEM_Tall_late,0.0,2.0,74.0,8.100000000000001,101.5,225.0,261.5,2,2,70.5,7.4,77.5,8.8,93.0,220.0,253.0,110.0,230.0,270.0,,Inbred,
52,1053,3,2,1,1,Inbred,HN,2022,BGEM-0192-N,BGEM_Tall_late,0.0,2.0,69.75,6.15,102.0,177.5,216.5,3,2,70.5,6.3,69.0,6.0,102.0,177.0,221.0,102.0,178.0,212.0,,Inbred,
53,1054,4,2,1,1,Inbred,HN,2022,BGEM-0211-N,BGEM_Tall_late,0.0,2.0,79.05,6.85,88.5,175.5,212.5,4,2,76.5,7.0,81.6,6.7,80.0,170.0,208.0,97.0,181.0,217.0,,Inbred,
54,1055,5,2,1,1,Inbred,HN,2022,BGEM-0014-S,BGEM_Tall_late,0.0,2.0,66.25,7.3,80.0,143.0,179.5,5,2,67.5,7.6,65.0,7.0,80.0,156.0,190.0,80.0,130.0,169.0,,Inbred,
55,1056,6,2,1,1,Inbred,HN,2022,BGEM-0235-N,BGEM_Tall_late,0.0,2.0,69.5,6.949999999999999,97.0,188.5,225.0,6,2,67.0,6.3,72.0,7.6,96.0,180.0,217.0,98.0,197.0,233.0,,Inbred,
56,1057,7,2,1,1,Inbred,HN,2022,B73,BGEM_Tall_late,0.0,2.0,76.5,8.45,94.5,165.5,204.5,7,2,82.0,8.6,71.0,8.3,94.0,171.0,210.0,95.0,160.0,199.0,,Inbred,
57,1058,8,2,1,1,Inbred,HN,2022,BGEM-0250-S,BGEM_Tall_late,0.0,2.0,73.0,8.05,112.5,207.5,250.0,8,2,80.0,7.6,66.0,8.5,112.0,200.0,240.0,113.0,215.0,260.0,,Inbred,
58,1059,9,2,1,1,Inbred,HN,2022,BGEM-0183-N,BGEM_Tall_late,0.0,2.0,70.25,6.5,81.0,165.5,199.5,9,2,69.0,6.0,71.5,7.0,88.0,161.0,199.0,74.0,170.0,200.0,,Inbred,
59,1060,10,2,1,1,Inbred,HN,2022,BGEM-0213-S,BGEM_Tall_late,0.0,2.0,60.5,6.1,107.0,166.0,186.5,10,2,57.0,5.7,64.0,6.5,107.0,152.0,171.0,107.0,180.0,202.0,,Inbred,
60,1061,11,2,1,1,Inbred,HN,2022,BGEM-0056-S,BGEM_Tall_late,0.0,2.0,71.75,8.75,73.0,149.5,192.0,11,2,73.5,9.0,70.0,8.5,70.0,151.0,190.0,76.0,148.0,194.0,,Inbred,
61,1062,12,2,1,1,Inbred,HN,2022,BGEM-0294-N,BGEM_Tall_late,0.0,2.0,72.25,7.5,91.5,175.0,210.0,12,2,70.0,7.3,74.5,7.7,88.0,175.0,210.0,95.0,175.0,210.0,,Inbred,
62,1063,13,2,1,1,Inbred,HN,2022,BGEM-0196-N,BGEM_Tall_late,0.0,2.0,63.25,5.5,70.0,192.5,231.0,13,2,65.5,6.2,61.0,4.8,76.0,205.0,242.0,64.0,180.0,220.0,,Inbred,
63,1064,14,2,1,1,Inbred,HN,2022,BGEM-0051-S,BGEM_Tall_late,0.0,2.0,77.75,8.850000000000001,92.5,181.0,222.0,14,2,78.5,8.3,77.0,9.4,80.0,171.0,212.0,105.0,191.0,232.0,,Inbred,
64,1065,15,2,1,1,Inbred,HN,2022,Mo17,BGEM_Tall_late,0.0,2.0,61.8,7.85,86.5,153.5,195.0,15,2,65.0,8.0,58.6,7.7,82.0,155.0,200.0,91.0,152.0,190.0,,Inbred,
65,1066,16,2,1,1,Inbred,HN,2022,BGEM-0188-S,BGEM_Tall_late,0.0,2.0,78.35,8.5,95.5,188.5,231.0,16,2,76.0,8.5,80.7,8.5,101.0,198.0,240.0,90.0,179.0,222.0,,Inbred,
