UID,CHL_blups_LN,CHL_blups_HN,CHL_LN,CHL_HN
B087,359.065913033389,432.068520013966,428.666030227397,432.086291973978
B090,338.911203064569,403.530420980913,371.459512224488,394.926176814823
B091,311.88443844785,385.931062999671,294.747562561181,372.009647982517
B092,354.990188931967,426.235033975688,417.097618449525,424.490375626828
B093,342.032547317051,518.495730568973,380.319041160857,544.62515076022
B094,341.854924079899,507.916721153392,379.814880747258,530.849979271135
B095,312.616511749373,496.648893788125,296.825457235319,516.177882086181
B096,353.757376937281,450.548377152207,413.598442243202,456.149339011077
B097,338.151456704615,500.2306033359,369.303071179911,520.841708471668
B098,349.015903600708,492.264734096798,400.140388011286,510.469166911525
B099,376.784754723804,496.410142136284,478.958653525947,515.866998068764
B100,368.888941070045,479.120264676032,456.547415327523,493.353450941239
B102,313.400949370086,349.028690709243,299.051981206188,323.958220227288
B103,302.693115234649,384.871861878577,268.659189288632,370.63043783993
B104,323.87583211463,429.92612885092,328.783570955241,429.296635163181
B105,312.51206689462,377.357680527639,296.529004124708,360.846049468293
B107,319.68738271108,422.973126338551,316.895203095859,420.242970664985
B109,331.9257160015,451.147777971474,351.632117434349,456.929832604734
B110,336.067251420617,434.985265873316,363.387326062008,435.884253845856
B111,303.403501429037,404.40181294628,270.675527935088,396.060836335917
B112,328.061523694616,448.380622578063,340.664111091791,453.326655919302
B113,345.650823815357,396.161413447876,390.589047524633,385.330822610634
B114,354.972479100232,485.792899101328,417.047351399811,502.042041704476
B115,297.381848737587,325.425065965391,253.583851417113,293.223397538534
B117,326.516197046854,390.001494248425,336.277902764689,377.309850135994
B118,311.773136724063,411.785752383599,294.431647121294,405.675633716122
B119,309.381702908462,341.269220373805,287.643873849607,313.854435427013
B120,340.547038855344,303.650635247792,376.102618960311,264.870410464873
B121,322.267094832654,364.192476371142,324.217379805594,343.703334321689
B288,322.267094832654,364.192476371142,324.217379805594,343.703334321689
B122,319.370317624903,334.248753119682,315.995255163662,304.712923536816
B123,314.49585019024,441.110726070551,302.159714514006,443.860356461115
B124,312.694766655774,474.714502412592,297.047573590194,487.61660656055
B125,315.237445773685,401.11760210194,304.264636944587,391.784389854977
B128,300.988599652009,413.358127927458,263.821143912868,407.723060078177
B130,298.984353053183,411.344705455666,258.132351103872,405.101336366687
B131,320.250266931996,401.941946928674,318.492876610744,392.857788214721
B132,320.970552698924,410.805083065698,320.537313903903,404.398681640791
B134,316.648434555957,435.057911473047,308.269544745285,435.978847352196
B136,321.852457540075,391.220555613476,323.040485879595,378.897217979203
B137,326.592937315685,408.834893716311,336.495720018185,401.833252772394
B138,323.853731449052,406.163663580038,328.720841095807,398.35498257067
B139,302.775775080197,370.896399760936,268.893808489292,352.43266716528
B140,338.978177381902,356.293621588998,371.649610097202,333.418053827358
B142,328.239238236861,379.36509099785,341.168530662999,363.459944814241
B143,314.659753882915,382.971270662162,302.624933788323,368.155634301311
B144,306.315489368228,367.102476770295,278.940826256189,347.492512774691
B145,318.37113548789,395.500178157827,313.159206865391,384.46981293031
B146,329.318082662275,352.293779147853,344.230689986566,328.209766983892
B147,323.010013881922,442.496165426281,326.326058721462,445.664368912868
B148,336.562494081475,437.337483757959,364.793007822649,438.947130857093
B149,322.056524685288,361.151095830826,323.619703880474,339.743082764987
B150,335.12664829975,403.039812373748,360.717546667974,394.287344062886
B151,319.754843044469,382.505132617198,317.086680461819,367.548665231267
B152,324.968219776946,435.653350114562,331.884170992012,436.754181703067
B153,332.359661892752,424.010220955929,352.863816301691,421.59339542061
B154,322.243926728692,470.438836769873,324.151620161399,482.049163982072
B155,296.824754017894,343.644488592602,252.002610647052,316.947326808536
B160,343.722158502357,470.727773978416,385.114782346895,482.425395767195
B161,331.996411783228,431.063792849437,351.832778198827,430.778013623194
B162,323.672195944509,398.820803813608,328.205576221003,388.793675974809
B163,315.12821642607,411.408923010403,303.954603674426,405.184955521785
B165,306.959610881726,400.37681920855,280.769081240509,390.819799410659
B169,331.377031632339,417.139193320724,350.07474834837,412.646472295485
B170,339.336121398109,459.178440130111,372.665587545592,467.386742515713
B171,315.469981571477,445.194302326332,304.924659506228,449.177675030592
B173,342.097386617236,450.373503331802,380.503079065598,455.921631787233
B175,305.630107142374,376.109389001655,276.995458116296,359.220620360206
B176,292.459318704987,360.889975912712,239.611891345971,339.403072513561
B177,318.44914170557,437.525492356846,313.380617349738,439.191941178113
B180,331.89085962996,367.341598354344,351.533182165665,347.803878489346
B181,345.575148396194,430.050209850368,390.374252708166,429.458203886563
B182,326.691400704277,466.736494159296,336.775195516508,477.228258510815
