,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
62,B067,BGEM-0072-S,1154.0,4.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,96.5318987605073,59.7610583527453,62.4805120235991,134.650000001911,178.249999995546
63,B068,BGEM-0073-S,1227.0,27.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,87.5009824393699,56.2161237258372,84.996061022046,134.700000001911,180.499999995546
64,B071,BGEM-0077-S,1088.0,38.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,91.5509824393699,52.8411237258372,53.071061022046,121.700000001911,164.749999995546
65,B072,BGEM-0078-N,1206.0,6.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,99.1950661182325,61.1211890989292,76.211610020493,135.100000001911,176.999999995546
66,B073,BGEM-0079-S,1048.0,48.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,102.75098243937,59.4911237258372,69.071061022046,127.125000001911,169.999999995546
67,B074,BGEM-0080-S,1040.0,40.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,93.3318987605073,57.8360583527453,64.1305120235991,122.125000001911,167.749999995546
68,B075,BGEM-0081-S,1308.0,8.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,110.156898760507,65.3860583527453,86.1305120235991,133.775000001911,203.749999995546
69,B076,BGEM-0082-S,1045.0,45.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,81.3450661182325,45.5211890989292,39.511610020493,84.7000000019106,117.749999995546
70,B077,BGEM-0083-S,1186.0,36.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,105.431898760507,60.9860583527453,91.0055120235991,140.000000001911,189.749999995546
71,B078,BGEM-0085-N,1089.0,39.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,94.9509824393699,54.1911237258372,72.8210610220461,119.825000001911,164.249999995546
72,B079,BGEM-0086-N,1218.0,18.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,100.917570932482,55.7545086981715,87.7522079145967,138.067529515779,190.472707879177
73,B080,BGEM-0087-N,1119.0,19.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,94.5318987605073,59.4110583527453,84.0055120235991,141.575000001911,192.249999995546
74,B081,BGEM-0088-N,1245.0,45.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,104.417570932482,54.3045086981715,80.5022079145967,123.567529515779,169.972707879177
75,B082,BGEM-0089-N,1239.0,39.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,91.6175709324816,47.2545086981715,63.8022079145967,116.967529515779,150.472707879177
76,B083,BGEM-0090-N,1340.0,40.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,88.9818987605073,63.2860583527453,69.5555120235991,119.200000001911,174.999999995546
77,B085,BGEM-0095-S,1148.0,48.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,96.9899669403364,56.7019054626165,70.619194989757,119.025000001911,162.749999995546
78,B086,BGEM-0097-S,1343.0,43.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,90.9818987605073,52.7610583527453,58.7555120235991,110.700000001911,148.749999995546
79,B087,BGEM-0099-S,1050.0,50.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,80.6818987605073,45.9860583527453,71.1399141294954,119.432470488042,132.499999995546
80,B090,BGEM-0107-N,1248.0,48.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,94.1700661182325,57.0461890989292,68.836610020493,128.325000001911,169.749999995546
81,B091,BGEM-0108-S,1333.0,33.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,97.3318987605073,58.7860583527453,76.7555120235991,124.875000001911,172.999999995546
82,B092,BGEM-0110-N,1273.0,23.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,96.6759824393699,60.3411237258372,67.821061022046,134.550000001911,184.499999995546
83,B093,BGEM-0111-S,1132.0,32.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,95.2259824393699,58.1411237258372,67.496061022046,121.100000001911,165.249999995546
84,B094,BGEM-0112-S,1099.0,49.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,92.6259824393699,56.7411237258372,69.521061022046,112.850000001911,166.749999995546
85,B095,BGEM-0113-S,1029.0,29.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,92.0009824393699,56.1911237258372,69.221061022046,115.100000001911,160.249999995546
86,B096,BGEM-0114-S,1046.0,46.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,90.7200661182325,53.7211890989292,63.561610020493,121.975000001911,170.249999995546
87,B097,BGEM-0115-S,1185.0,35.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,98.0318987605073,60.3360583527453,65.1305120235991,123.925000001911,173.499999995546
