,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
216,B310,BGEM-0180-S,1127.0,27.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273187028,59.7637299072174,69.0130597082682,125.446524631272,169.898198755968
217,B311,BGEM-0181-N,1193.0,43.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273133285,59.5309056192117,92.0643935159273,124.328905600243,170.317246663839
218,B312,BGEM-0121-N,1152.0,2.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273202105,60.3766467641538,86.144408793312,134.88291624377,195.495535355665
219,B313,BGEM-0251-S,1311.0,11.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273174829,59.0345074830698,81.6817221970237,136.392278027942,188.80775195399
220,B314,BGEM-0189-S,1265.0,15.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273198441,60.2757870282022,84.3632666389124,136.657280478599,192.709430691753
221,B315,BGEM-0249-N,1189.0,39.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273169637,59.0925536898837,73.281439887713,124.098468686629,166.486352750959
0,B001,BGEM-0001-N,2338.0,38.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,83.8006719632149,51.3706716622223,66.6044630358939,123.454723118704,173.513955720041
1,B002,BGEM-0002-N,2339.0,39.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,,83.1124979088933,50.7952741338922,65.2668927396634,123.443043362264,163.091680250222
2,B003,BGEM-0003-N,2136.0,36.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,98.6438200152915,52.5715075814711,78.9994525804959,129.100046711852,178.257969355097
3,B004,BGEM-0004-N,2273.0,23.0,6.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,76.5269380572172,48.7802221246289,69.5509739993288,110.70983184789,146.081181221673
4,B005,BGEM-0005-N,2346.0,46.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,86.5652822079742,51.1923816130762,71.8099657379623,121.490887671314,165.263497224291
5,B006,BGEM-0006-S,2347.0,47.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,86.9792345440879,50.9983600890055,70.1599196443149,118.051319087182,164.232189912323
6,B007,BGEM-0007-S,2195.0,45.0,4.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,94.2825364740937,52.6973593808684,75.3850657986824,140.842981121752,181.351891291003
7,B008,BGEM-0008-S,2003.0,3.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,89.6195476639464,50.9827369801946,69.4729688831663,127.735597618935,169.060329936552
8,B009,BGEM-0010-S,2053.0,3.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,89.1820523326929,50.7938509149849,64.6008356266344,118.151514773273,158.663130427692
9,B010,BGEM-0011-S,2092.0,42.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,95.6426655784672,52.4299243071492,66.211594907436,123.61503621645,168.151157697804
10,B011,BGEM-0012-S,2071.0,21.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,82.5144629188617,50.0387401186014,60.0435653823979,101.225606841252,140.305860274649
11,B012,BGEM-0013-S,2069.0,19.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,86.8609624480554,50.882995939558,66.8401839588449,118.111436498837,159.488176277267
12,B013,BGEM-0014-S,2080.0,30.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,82.5440309428698,49.7765488698572,67.8419976864128,98.9740604553982,137.418199801136
