"genotype","PLOT.ID","rows","ranges","Block","Rep","Group","Trt","year","note","Calibration","ASD","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"BGEM-0063-N","1272","22","6","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",80.6575029932297,6.67160666499698,98.1233560995565,209.62538618995,248.269402762083
"BGEM-0064-N","1159","9","4","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",69.9004757098975,5.82021158932763,108.669648326164,191.544981364883,228.025550473232
"BGEM-0065-N","1015","15","1","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",67.1722441525307,6.87431977825158,105.154217583962,184.388154454961,224.772074212523
"BGEM-0066-N","1137","37","3","1","1","Inbred","HN","2022","BGEM_Short_early","0","2",75.2789893515636,7.32028862741172,70.3905135777362,147.473994603783,189.706830069334
"BGEM-0067-S","1241","41","5","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",73.5251262075421,8.65819517489212,74.2965477357391,167.437774931461,206.697206097477
"BGEM-0068-S","1077","27","2","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",76.2923325014427,8.69873779754304,72.3435306567376,163.294348825717,201.274745662964
"BGEM-0069-S","1019","19","1","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",74.8892419862255,8.73928042019396,82.8898228833453,174.217926740861,216.096137517301
"BGEM-0070-S","1102","2","3","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",67.4840420448012,7.72571485392093,55.156980361525,147.473994603783,183.92287227252
"BGEM-0071-S","1231","31","5","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",67.3671178351997,8.45548206163751,85.2334433781471,159.527597820494,199.82875621376
"BGEM-0072-S","1154","4","4","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",74.1487219920831,9.34741975995778,63.359652093331,170.827850836161,215.373142792699
"BGEM-0073-S","1227","27","5","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",66.470698894922,9.14470664670317,87.9676672887491,159.904272921017,202.359237749866
"BGEM-0074-S","1279","29","6","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",69.9004757098975,8.33385419368475,77.4213750621413,146.720644402739,186.453353808626
"BGEM-0075-S","1004","4","1","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",67.094294679463,7.52300174066633,95.7797356047548,173.087901439294,206.697206097477
"BGEM-0076-S","1303","3","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",NA,NA,NA,NA,NA
"BGEM-0077-S","1088","38","2","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",70.4850967579047,7.11757551415711,61.4066350143296,162.917673725194,201.636243025265
"BGEM-0078-N","1206","6","5","1","1","Inbred","HN","2022","BGEM_Tall_early","0","2",69.8225262368299,6.95540502355343,76.2495648147405,182.881454052872,217.903624328806
"BGEM-0078-S","1262","12","6","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",NA,NA,NA,NA,NA
"BGEM-0079-S","1048","48","1","1","1","Inbred","HN","2022","BGEM_Short_early","0","2",74.577444093955,8.49602468428843,64.1408589249316,170.074500635117,211.396671807389
"BGEM-0080-S","1040","40","1","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",64.8337599605019,8.33385419368475,75.4683579831399,176.854652444517,213.927153343496
"BGEM-0081-S","1308","8","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",76.1364335553075,7.56354436331725,87.9676672887491,170.827850836161,232.002021458542
"BGEM-0082-S","1045","45","1","1","1","Inbred","HN","2022","BGEM_Short_early","0","2",68.7312336138832,8.6176525522412,46.954308629719,127.510214276105,163.679019983668
