"genotype","CHL"
"BGEM-0196-N X B73",548.603453859346
"BGEM-0197-S",482.425395767192
"BGEM-0197-S X Mo17",513.804874199443
"BGEM-0198-S",430.778013623192
"BGEM-0198-S X Mo17",513.353518484667
"BGEM-0199-S",388.793675974807
"BGEM-0199-S X Mo17",468.503521282102
"BGEM-0200-S",405.184955521783
"BGEM-0200-S X Mo17",458.989729280836
"BGEM-0201-N",380.796409661676
"BGEM-0201-N X B73",491.361964037474
"BGEM-0202-N",390.819799410657
"BGEM-0202-N X B73",493.313853401707
"BGEM-0203-N",354.348855649787
"BGEM-0204-N",388.842113507688
"BGEM-0205-N",420.806748989599
"BGEM-0205-N X B73",499.194632349338
"BGEM-0206-N",412.646472295483
"BGEM-0207-N",467.386742515711
"BGEM-0207-N X B73",530.277652460473
"BGEM-0208-N",449.17767503059
"BGEM-0209-N",375.597186341711
"BGEM-0209-N X B73",441.681275672108
"BGEM-0210-N",455.921631787231
"BGEM-0210-N X B73",535.170471148518
"BGEM-0211-N",365.155312224781
"BGEM-0211-N X B73",421.440815969208
"BGEM-0212-N",359.220620360204
"BGEM-0213-S",339.403072513559
"BGEM-0214-S",439.19194117811
"BGEM-0214-S X Mo17",504.077513910146
"BGEM-0215-N",383.824200965711
"BGEM-0215-N X B73",515.189541641421
"BGEM-0216-N",364.440421360168
"BGEM-0216-N X B73",513.98421930842
"BGEM-0217-S",347.803878489344
"BGEM-0218-S",429.458203886561
"BGEM-0218-S X Mo17",496.681406220618
"BGEM-0219-S",477.228258510813
"BGEM-0219-S X Mo17",486.196986220343
"BGEM-0220-S",407.803296639699
"BGEM-0220-S X Mo17",511.225075766365
"BGEM-0221-S",462.645773127084
"BGEM-0221-S X Mo17",449.670789335632
"BGEM-0222-S",368.164361422172
"BGEM-0222-S X Mo17",480.683094269205
"BGEM-0223-N",352.188884411323
"BGEM-0223-N X B73",470.355745342343
"BGEM-0224-N",339.430435518616
"BGEM-0224-N X B73",440.504149169635
"BGEM-0225-N",408.170291989801
"BGEM-0226-S",427.618408752902
"BGEM-0226-S X Mo17",475.441407977783
"BGEM-0227-N",383.79118377212
"BGEM-0227-N X B73",499.087512281104
"BGEM-0228-N",359.751630613719
"BGEM-0228-N X B73",456.736900169664
"BGEM-0229-N",397.088248326593
"BGEM-0229-N X B73",482.396711407271
"BGEM-0230-N",347.759473963964
"BGEM-0230-N X B73",516.815902803941
"BGEM-0231-N",331.400458204723
"BGEM-0231-N X B73",477.538707313652
"BGEM-0233-S",376.286839684815
"BGEM-0233-S X Mo17",452.63228706399
"BGEM-0235-N",302.605181882939
"BGEM-0235-N X B73",493.042464849633
"BGEM-0236-S",387.425797853397
"BGEM-0236-S X Mo17",481.464192587126
"BGEM-0237-N",382.274895587343
"BGEM-0237-N X B73",460.819918946923
"BGEM-0238-N",360.011012546354
"BGEM-0238-N X B73",502.423130753621
"BGEM-0239-N",388.139849229777
"BGEM-0239-N X B73",434.268658684139
"BGEM-0240-N",460.933503603028
"BGEM-0240-N X B73",458.71352546992
"BGEM-0242-N",488.508597186123
"BGEM-0242-N X B73",516.877247131414
"BGEM-0243-S",431.68396041259
"BGEM-0243-S X Mo17",488.432205210355
"BGEM-0244-S",429.020019109531
"BGEM-0244-S X Mo17",489.140831831446
"BGEM-0245-S",402.839173131559
"BGEM-0245-S X Mo17",458.756399401718
"BGEM-0246-N",323.41627408291
"BGEM-0247-N",331.502496958701
"BGEM-0248-N",437.619954198831
"BGEM-0249-N",352.530466569378
"BGEM-0249-N X B73",411.534799591416
"BGEM-0250-S",375.51695158025
"BGEM-0250-S X Mo17",529.240023179565
"BGEM-0251-S",331.401548983458
"BGEM-0251-S X Mo17",523.086773269565
"BGEM-0252-S",436.617157701836
"BGEM-0252-S X Mo17",460.30546153819
"BGEM-0253-N",387.619384732461
"BGEM-0254-S",385.119965777158
"BGEM-0254-S X Mo17",481.879709048934
"BGEM-0255-S",345.373827164308
"BGEM-0255-S X Mo17",480.601511419119
"BGEM-0256-N",343.355800014966
"BGEM-0256-N X B73",448.218662295333
"BGEM-0257-S",377.852141908047
"BGEM-0257-S X Mo17",465.957346111855
"BGEM-0258-S",454.569427472041
"BGEM-0258-S X Mo17",527.17469371043
"BGEM-0259-N",327.755991208432
"BGEM-0260-N",469.602131407818
"BGEM-0261-S",445.589110135523
"BGEM-0261-S X Mo17",509.576402840903
"BGEM-0262-S",360.095912922815
"BGEM-0262-S X Mo17",453.695546382714
"BGEM-0263-S",407.219797920994
"BGEM-0263-S X Mo17",457.920595817924
"BGEM-0264-S",372.434347346179
"BGEM-0264-S X Mo17",393.145677790505
"BGEM-0266-S",386.180285269165
"BGEM-0268-S",366.962822617106
"BGEM-0269-S",361.760335445043
"BGEM-0270-S",435.257282683841
"BGEM-0272-S",460.098420369032
"BGEM-0276-S",345.096939768009
"BGEM-0277-S",371.689752508126
"BGEM-0278-S",281.92701017447
"BGEM-0279-S",510.737592545684
"BGEM-0280-S",356.25612047284
"BGEM-0281-N",386.152093350836
"BGEM-0282-N",487.430091010423
"BGEM-0283-N",383.057320513065
"BGEM-0284-N",356.666254649313
"BGEM-0285-N",380.427245858202
"BGEM-0286-N",402.251207556739
"BGEM-0287-N",371.555665182657
"BGEM-0288-S",414.592150876872
"BGEM-0289-N",343.59790335119
"BGEM-0290-N",462.964987162909
"BGEM-0291-N",403.93376229121
"BGEM-0292-S",351.169219613424
"BGEM-0293-N",365.856676471645
"BGEM-0294-N",408.140853869113
"BGEM-0295-S",376.18484026946
"BGEM-0296-S",496.52612605284
"BGEM-0297-N",443.559723427318
"BGEM-0298-S",320.250138708478
"BGEM-0299-N",427.84133860661
"BGEM-0300-S",313.698828807704
"BGEM-0301-S",320.122496113428
"BGEM-0302-S",410.954720065467
"BGEM-0303-N",409.071962895964
"BGEM-0304-N",287.169288053717
"BGEM-0305-S",340.692168286609
"BGEM-0306-S",452.612108977828
"BGEM-0307-S",453.305902582523
"BGEM-0308-S",482.87937908274
"BGEM-0309-S",384.719911410485
"BGEM-0310-S",478.574009717448
"BGEM-0311-N",401.043236168456
"BGEM-0312-S",327.9325071928
"BGEM-0313-S",376.021969973857
"BGEM-0314-S",416.196611092421
"BGEM-0315-S",478.155391399537
"BGEM-0316-S",328.988329952803
"BGEM-0317-S",444.545665152961
"BGEM-0318-S",408.080374529861
"BGEM-0319-S",427.690141225724
"BGEM-0320-N",407.667565780762
"BGEM-0321-S",494.276845674044
"BGEM-0322-S",399.720048704973
"BGEM-0323-S",419.03439492225
"BGEM-0324-N",345.178430520281
"BGEM-0325-N",434.672790957801
"BGEM-0326-N",349.92184934
