"genotype","CHL"
"BGEM-0189-S X Mo17",359.904632564819
"BGEM-0190-N",403.100392046539
"BGEM-0191-N",284.474968702598
"BGEM-0191-N X B73",344.785473136947
"BGEM-0192-N",263.67930845363
"BGEM-0193-N",269.179737410029
"BGEM-0194-N",341.853682239917
"BGEM-0194-N X B73",383.058637125893
"BGEM-0196-N",320.822982318927
"BGEM-0196-N X B73",428.877662478074
"BGEM-0197-S",433.770089031849
"BGEM-0197-S X Mo17",437.019323498717
"BGEM-0198-S",391.305395885815
"BGEM-0198-S X Mo17",419.604674778795
"BGEM-0199-S",358.49962607271
"BGEM-0199-S X Mo17",385.958999830277
"BGEM-0200-S",354.56977957291
"BGEM-0200-S X Mo17",414.736590066974
"BGEM-0201-N",354.325958916227
"BGEM-0201-N X B73",438.08789046583
"BGEM-0202-N",335.794440300388
"BGEM-0202-N X B73",391.14727586247
"BGEM-0203-N",301.856997997478
"BGEM-0204-N",330.470966524808
"BGEM-0205-N",368.781161891051
"BGEM-0205-N X B73",423.39570383796
"BGEM-0206-N",381.360610296732
"BGEM-0207-N",420.026165005456
"BGEM-0207-N X B73",425.523286708256
"BGEM-0208-N",377.051167243214
"BGEM-0209-N",340.853019630426
"BGEM-0209-N X B73",386.960574753308
"BGEM-0210-N",418.212355401219
"BGEM-0210-N X B73",456.048734296235
"BGEM-0211-N",319.016983189111
"BGEM-0211-N X B73",349.174547068255
"BGEM-0212-N",318.108039213055
"BGEM-0213-S",289.50748190457
"BGEM-0214-S",376.286279238729
"BGEM-0214-S X Mo17",393.718041530908
"BGEM-0215-N",356.668471203689
"BGEM-0215-N X B73",413.165959723038
"BGEM-0216-N",336.683318452093
"BGEM-0216-N X B73",377.767183773059
"BGEM-0217-S",349.668530302309
"BGEM-0218-S",409.916228272168
"BGEM-0218-S X Mo17",416.282797817512
"BGEM-0219-S",407.001726988466
"BGEM-0219-S X Mo17",397.655959431453
"BGEM-0220-S",405.694179589661
"BGEM-0220-S X Mo17",428.526698414588
"BGEM-0221-S",432.44936979319
"BGEM-0221-S X Mo17",362.303708515018
"BGEM-0222-S",333.822955768895
"BGEM-0222-S X Mo17",387.21003788397
"BGEM-0223-N",339.427469422619
"BGEM-0223-N X B73",382.135898948899
"BGEM-0224-N",333.1724047484
"BGEM-0224-N X B73",364.334983010423
"BGEM-0225-N",344.486581330205
"BGEM-0226-S",387.746717105812
"BGEM-0226-S X Mo17",365.498681899771
"BGEM-0227-N",318.103186124922
"BGEM-0227-N X B73",426.689838406345
"BGEM-0228-N",345.503396364322
"BGEM-0228-N X B73",380.912366860441
"BGEM-0229-N",317.387461795721
"BGEM-0229-N X B73",404.326153220515
"BGEM-0230-N",330.129970682881
"BGEM-0230-N X B73",383.75952030554
"BGEM-0231-N",305.168450253923
"BGEM-0231-N X B73",364.539236176483
"BGEM-0233-S",366.288669247651
"BGEM-0233-S X Mo17",364.132937566333
"BGEM-0235-N",307.731765736264
"BGEM-0235-N X B73",382.646580461472
"BGEM-0236-S",364.703116945636
"BGEM-0236-S X Mo17",391.293638025657
"BGEM-0237-N",352.324498498267
"BGEM-0237-N X B73",379.339764311058
"BGEM-0238-N",326.433303473628
"BGEM-0238-N X B73",386.690093163059
"BGEM-0239-N",320.44646550165
"BGEM-0239-N X B73",347.398704151712
"BGEM-0240-N",429.466065320268
"BGEM-0240-N X B73",420.47623477218
"BGEM-0242-N",443.447065503968
"BGEM-0242-N X B73",397.351063551807
"BGEM-0243-S",435.208370108641
"BGEM-0243-S X Mo17",400.149267477323
"BGEM-0244-S",383.103734174902
"BGEM-0244-S X Mo17",419.917074752942
"BGEM-0245-S",392.644365913314
"BGEM-0245-S X Mo17",412.622180013055
"BGEM-0246-N",317.263191241345
"BGEM-0247-N",311.757584418196
"BGEM-0248-N",415.534870598825
"BGEM-0249-N",334.361161930821
"BGEM-0249-N X B73",355.4073242575
"BGEM-0250-S",356.318276452218
"BGEM-0250-S X Mo17",359.727570143562
"BGEM-0251-S",338.686506785406
"BGEM-0251-S X Mo17",419.579179806311
"BGEM-0252-S",367.337857542639
"BGEM-0252-S X Mo17",376.682770940675
"BGEM-0253-N",355.182025110014
"BGEM-0254-S",369.750657408805
"BGEM-0254-S X Mo17",392.297504479301
"BGEM-0255-S",316.669129253689
"BGEM-0255-S X Mo17",402.892852054557
"BGEM-0256-N",316.027227685645
"BGEM-0256-N X B73",347.156948028863
"BGEM-0257-S",333.718260121273
"BGEM-0257-S X Mo17",372.508948436161
"BGEM-0258-S",369.358848526385
"BGEM-0258-S X Mo17",406.509301196482
"BGEM-0259-N",356.55522896803
"BGEM-0260-N",408.201324913057
"BGEM-0261-S",435.4744174011
