UID,CHL_blups_LN,CHL_blups_HN
B083,320.678638440462,395.942402884736
B085,353.553884764549,437.887353609777
B086,341.509183668151,413.670903474134
B087,373.872371092657,421.83541257445
B090,347.8274904359,395.960026605872
B091,312.902211924344,380.002755589454
B092,368.605525378894,416.546212946685
B093,351.861040840262,500.198636022101
B094,351.63150759366,490.606688377784
B095,313.848232075447,480.39019211551
B096,367.012426727338,438.591028831242
B097,346.845709834492,483.637714554503
B098,360.885267994751,476.415091180106
B099,396.769506199872,480.173716899875
B100,386.566157969196,464.49705069603
B102,314.861919905526,346.543514836766
B103,301.024744248756,379.042381957178
B104,328.398064627887,419.892914646495
B105,313.713263436283,372.229302274883
B107,322.985549884628,413.588653685046
B109,338.800509786295,439.13450327677
B110,344.152400033959,424.480014963541
B111,301.942739282257,396.750114390194
B112,333.807015579569,436.625533994807
B113,356.53675087168,389.27857547271
B114,368.582639886883,470.547102978131
B115,294.161271528672,325.142197958678
B117,331.810070538984,383.693400137926
B118,312.7583825109,403.445104224239
B119,309.668057300454,339.508032564151
B120,349.941395722094,305.399404354543
B121,326.31917733147,360.292461684697
B288,326.31917733147,360.292461684697
B122,322.5758232082,333.142601577672
B123,316.27680313808,430.033946451936
B124,313.949356810121,460.502362790565
B125,317.23512843754,393.772332895321
B128,298.822087649077,404.870771155935
B130,296.232104287675,403.04520865035
B131,323.712935809804,394.51976321779
B132,324.643723544653,402.555935079551
B134,319.058475660058,424.545882452816
B136,325.783363180943,384.798718446042
B137,331.909237986511,400.769571881795
B138,328.369505090274,398.34757766603
B139,301.131561256578,366.370883552032
B140,347.914037853585,353.130600063816
B142,334.036666814982,374.049413721475
B143,316.488607332808,377.319123122163
B144,305.705749440551,362.930947990655
B145,321.284632238291,388.679035947451
B146,335.43080120593,349.503958119016
B147,327.279212876797,431.290119052083
B148,344.792376298472,426.612761982774
B149,326.047068510926,357.534853503898
B150,342.936907671814,395.515193645724
B151,323.072725355518,376.896477527791
B152,329.809700237625,425.085764406829
B153,339.361275431974,414.528983434393
B154,326.289238398899,456.625632996832
B155,293.441367074012,341.661679233787
B160,354.044437264508,456.88761126606
B161,338.89186625835,420.924430271627
B162,328.13491622454,391.689834613508
B163,317.093977047754,403.103434463248
B165,306.538114082536,393.100667860338
B169,338.091473589042,408.299048782622
B170,348.37659023952,446.415874145142
B171,317.535622322657,433.736509528338
B173,351.944829286625,438.432471402678
B175,304.82006573167,371.097481090902
B176,287.800142669625,357.298097066216
B177,321.3854356055,426.783228665085
B180,338.755466715057,363.147758622419
B181,356.438959473849,420.005418417274
B182,332.03647708888,453.268733018118
B183,362.453553243291,404.926641596307
B185,315.05749328917,377.325200003781
B186,327.434005536378,366.201132386729
B187,327.547060012004,357.317150514089
B188,306.55349769646,405.182188337534
B189,337.089987729974,418.724329567504
B190,293.629204789871,388.206491895248
B191,329.523326229989,371.46723493058
B194,305.703753545223,351.725704916409
B195,340.921369306209,382.981055997959
B197,334.406309657158,390.737351710861
B198,325.479972880385,387.150667879293
B201,360.086321157608,461.123475013125
B202,378.455542762731,421.55526047068
B204,320.35172239617,346.166146101501
B205,311.657075834348,351.796756691455
B206,357.839183218705,425.688620382731
B207,332.193277568685,382.444966382173
B209,314.409635716663,424.990351653031
B210,325.648682627699,390.872150410833
B211,340.052175031634,389.131751332717
B212,309.814000162645,361.455661714499
