UID,Barcode,Genotype,Pedigree,
B249,B249_BGEM-0298-S,BGEM-0298-S,BGEM-0298-S,
B250,B250_BGEM-0299-N,BGEM-0299-N,BGEM-0299-N,
B251,B251_BGEM-0300-S,BGEM-0300-S,BGEM-0300-S,
B252,B252_BGEM-0301-S,BGEM-0301-S,BGEM-0301-S,
B253,B253_Control1,Control1,Control1,
B254,B254_BGEM-0302-S,BGEM-0302-S,BGEM-0302-S,
B255,B255_BGEM-0303-N,BGEM-0303-N,BGEM-0303-N,
B256,B256_BGEM-0304-N,BGEM-0304-N,BGEM-0304-N,
B257,B257_BGEM-0305-S,BGEM-0305-S,BGEM-0305-S,
B258,B258_BGEM-0306-S,BGEM-0306-S,BGEM-0306-S,
B259,B259_BGEM-0307-S,BGEM-0307-S,BGEM-0307-S,
B260,B260_BGEM-0308-S,BGEM-0308-S,BGEM-0308-S,
B261,B261_BGEM-0309-S,BGEM-0309-S,BGEM-0309-S,
B262,B262_BGEM-0310-S,BGEM-0310-S,BGEM-0310-S,
B263,B263_BGEM-0311-N,BGEM-0311-N,BGEM-0311-N,
B264,B264_BGEM-0312-S,BGEM-0312-S,BGEM-0312-S,
B265,B265_BGEM-0313-S,BGEM-0313-S,BGEM-0313-S,
B266,B266_BGEM-0314-S,BGEM-0314-S,BGEM-0314-S,
B267,B267_BGEM-0315-S,BGEM-0315-S,BGEM-0315-S,
B268,B268_BGEM-0316-S,BGEM-0316-S,BGEM-0316-S,
B269,B269_BGEM-0317-S,BGEM-0317-S,BGEM-0317-S,
B270,B270_BGEM-0318-S,BGEM-0318-S,BGEM-0318-S,
B271,B271_BGEM-0319-S,BGEM-0319-S,BGEM-0319-S,
B272,B272_BGEM-0320-N,BGEM-0320-N,BGEM-0320-N,
B273,B273_BGEM-0321-S,BGEM-0321-S,BGEM-0321-S,
B274,B274_BGEM-0322-S,BGEM-0322-S,BGEM-0322-S,
B275,B275_BGEM-0323-S,BGEM-0323-S,BGEM-0323-S,
B276,B276_BGEM-0324-N,BGEM-0324-N,BGEM-0324-N,
B277,B277_BGEM-0325-N,BGEM-0325-N,BGEM-0325-N,
B278,B278_BGEM-0326-N,BGEM-0326-N,BGEM-0326-N,
B279,B279_BGEM-0327-N,BGEM-0327-N,BGEM-0327-N,
B280,B280_BGEM-0328-S,BGEM-0328-S,BGEM-0328-S,
B281,B281_BGEM-0185-N,BGEM-0185-N,21S0404,
B282,B282_BGEM-0117-S,BGEM-0117-S,21S0405,Rep
B283,B283_BGEM-0101-S,BGEM-0101-S,21S0431,
B284,B284_BGEM-0161-S,BGEM-0161-S,21S0433,
B285,B285_BGEM-0091-N,BGEM-0091-N,21S0444,
B286,B286_BGEM-0098-S,BGEM-0098-S,21S0462,
B287,B287_BGEM-0171-S,BGEM-0171-S,21S0470,
B288,B288_BGEM-0147-S,BGEM-0147-S,21S0478,Rep
B289,B289_BGEM-0194-N,BGEM-0194-N,21S0483,
B290,B290_BGEM-0092-S,BGEM-0092-S,21S0485,
B291,B291_BGEM-0199-S,BGEM-0199-S,21S0501,Rep
B292,B292_BGEM-0106-N,BGEM-0106-N,21S0514,
B293,B293_BGEM-0173-S,BGEM-0173-S,21S0516,Rep
B294,B294_BGEM-0078-S,BGEM-0078-S,21S0519,
B295,B295_BGEM-0054-S,BGEM-0054-S,21S0521,
B296,B296_BGEM-0127-N,BGEM-0127-N,21S0526,
B297,B297_BGEM-0238-N,BGEM-0238-N,21S0529,
B298,B298_BGEM-0053-S,BGEM-0053-S,21S0532,
B299,B299_BGEM-0245-S,BGEM-0245-S,21S0535,
B300,B300_BGEM-0084-S,BGEM-0084-S,21S0536,
B301,B301_BGEM-0103-N,BGEM-0103-N,21S0537,
B302,B302_BGEM-0058-N,BGEM-0058-N,21S0538,
B303,B303_BGEM-0109-N,BGEM-0109-N,21S0540,
B304,B304_BGEM-0029-S,BGEM-0029-S,21S0551,
B305,B305_BGEM-0105-N,BGEM-0105-N,21S0572,
B306,B306_BGEM-0168-S,BGEM-0168-S,21S0580,
B307,B307_BGEM-0183-N,BGEM-0183-N,21S0593,
B308,B308_BGEM-0163-S,BGEM-0163-S,21S0597,
B309,B309_BGEM-0076-S,BGEM-0076-S,21S0609,
B310,B310_BGEM-0180-S,BGEM-0180-S,21S0613,
B311,B311_BGEM-0181-N,BGEM-0181-N,21S0614,
B312,B312_BGEM-0121-N,BGEM-0121-N,21S0622,
B313,B313_BGEM-0251-S,BGEM-0251-S,21S0627,
B314,B314_BGEM-0189-S,BGEM-0189-S,21S0633,
B315,B315_BGEM-0249-N,BGEM-0249-N,21S0645,
