"","male","bands","mean.heterosis","sd.heterosis","se.heterosis","max","min","Trt","Htype"
"51","B73",400,-2.12862384237834,2.20073634959894,0.250797183035975,3.95808180705684,-7.52149436908185,"HN","mid"
"52","B73",401,-2.05699075400935,2.01408425622841,0.229526202878071,3.19535034842053,-7.34437498027689,"HN","mid"
"53","B73",402,-1.9832650562795,1.84566777899419,0.210333364047157,2.97147460087471,-6.74727149989764,"HN","mid"
"54","B73",403,-2.4038287192287,2.55562270701404,0.291240236904661,4.96892930248617,-8.51871347533246,"HN","mid"
"55","B73",404,-2.44080999278539,2.36657764996385,0.269696553226375,4.35825802899639,-7.94907779053706,"HN","mid"
"56","B73",405,-2.21165591469232,2.10199181394422,0.239544198830523,3.58994968322482,-7.12406046011691,"HN","mid"
"57","B73",406,-2.0659976944884,2.42512616683695,0.27636877596009,4.6184539577298,-8.21980875121898,"HN","mid"
"58","B73",407,-2.34669996017803,2.4891509153747,0.283665073211136,4.59656457382241,-8.4456680623417,"HN","mid"
"59","B73",408,-2.37688750200063,2.47565981224809,0.282127619321751,4.12038947741688,-8.35622530489106,"HN","mid"
"60","B73",409,-2.26664780236648,2.4683109222053,0.281290135576137,3.85620489163269,-8.50382482052271,"HN","mid"
"61","B73",410,-2.27807216646042,2.44697854354479,0.278859085406729,3.7197287823133,-8.90363065266843,"HN","mid"
"62","B73",411,-2.268008069448,2.59455470013068,0.295676949282955,4.58236380466191,-9.0098567593937,"HN","mid"
"63","B73",412,-2.14236180488425,2.61273017420922,0.297748236786373,4.98111105252218,-8.78896076615213,"HN","mid"
"64","B73",413,-2.18244524191165,2.76359772046734,0.314941189327,5.26607886396632,-9.50994735230494,"HN","mid"
"65","B73",414,-2.28375891411235,3.02540652101356,0.344777071159453,6.00978845739409,-10.2204116674818,"HN","mid"
"66","B73",415,-2.36658643383294,2.82897032390924,0.322391088899906,5.04555791572086,-9.89355898826964,"HN","mid"
"67","B73",416,-2.38547714455271,2.80901131207199,0.320116548405368,4.96073505381375,-9.56059733889901,"HN","mid"
"68","B73",417,-2.22469048861079,3.0092043120423,0.342930658085169,6.01806069586858,-9.58297156154034,"HN","mid"
"69","B73",418,-2.0763744831991,2.83402631820501,0.322967272924429,5.54966637700377,-9.64463805880109,"HN","mid"
"70","B73",419,-2.20420662092448,2.86278425934757,0.326244544474827,5.45292994947729,-10.0893360088129,"HN","mid"
"71","B73",420,-2.34695606514394,2.92328534364458,0.333139282917747,5.39059457729738,-10.4032311228721,"HN","mid"
"72","B73",421,-2.22267618022104,2.8574373421236,0.325635206705701,5.0025444035633,-10.2461280114208,"HN","mid"
"73","B73",422,-1.9482206079782,2.72648895520692,0.310712253046216,4.97669372118571,-9.15358841257816,"HN","mid"
"74","B73",423,-2.05096194462618,2.83408790884747,0.322974291829547,5.19885196475419,-9.49938744927464,"HN","mid"
"75","B73",424,-2.24907120830409,2.96572846025549,0.337976124953471,5.03862921581007,-10.2806922902022,"HN","mid"
"76","B73",425,-2.1728341478717,2.85985145724627,0.32591032065672,5.0068083648551,-9.88480447796879,"HN","mid"
"77","B73",426,-2.25399115005531,2.97817927037777,0.339395026452394,5.28406198683151,-10.09960275891,"HN","mid"
"78","B73",427,-2.19270802666654,3.067377755179,0.349560137199669,5.59040466319143,-10.2869698355385,"HN","mid"
