"bands","Trt","H2"
"X1027","HN",0.121179681613852
"X1028","HN",0.120995441685391
"X1029","HN",0.12086591118877
"X1030","HN",0.120991431629683
"X1031","HN",0.121033537734961
"X1032","HN",0.120988078632847
"X1033","HN",0.121061946524509
"X1034","HN",0.121030528864451
"X1035","HN",0.120978238694555
"X1036","HN",0.121052543326995
"X1037","HN",0.121065996237298
"X1038","HN",0.121091562747274
"X1039","HN",0.121051612795166
"X1040","HN",0.121000651668685
"X1041","HN",0.120935023404846
"X1042","HN",0.120917103863809
"X1043","HN",0.120886067177912
"X1044","HN",0.120926782998636
"X1045","HN",0.120913794233878
"X1046","HN",0.12096001267949
"X1047","HN",0.120960415165158
"X1048","HN",0.120895227716841
"X1049","HN",0.120785201767996
"X1050","HN",0.120679527877666
"X1051","HN",0.120699059711747
"X1052","HN",0.120763093681473
"X1053","HN",0.120839730903545
"X1054","HN",0.120745327175258
"X1055","HN",0.120811078672845
"X1056","HN",0.120801639042155
"X1057","HN",0.120664117881273
"X1058","HN",0.120729855353927
"X1059","HN",0.120818434465855
"X1060","HN",0.120773757554583
"X1061","HN",0.120894436878418
"X1062","HN",0.120949707567652
"X1063","HN",0.120939486302858
"X1064","HN",0.12086445858644
"X1065","HN",0.120812397943921
"X1066","HN",0.120735563811109
"X1067","HN",0.120659182059367
"X1068","HN",0.120703229533831
"X1069","HN",0.120703022235841
"X1070","HN",0.120702041337911
"X1071","HN",0.120713294152544
"X1072","HN",0.120740255478936
"X1073","HN",0.120844424204149
"X1074","HN",0.120905369128596
"X1075","HN",0.120865432617262
"X1076","HN",0.120815397368149
"X1077","HN",0.120781280097711
"X1078","HN",0.120822033558541
"X1079","HN",0.120824078846
"X1080","HN",0.1207574293377
"X1081","HN",0.12071213649607
"X1082","HN",0.120717794965215
"X1083","HN",0.120731385254581
"X1084","HN",0.120831662599357
"X1085","HN",0.120904454153518
"X1086","HN",0.120953242929448
"X1087","HN",0.120933963304169
"X1088","HN",0.120914326259475
"X1089","HN",0.120936437074419
"X1090","HN",0.120907672462381
"X1091","HN",0.12106802346434
"X1092","HN",0.1210900215898
"X1093","HN",0.120968289186276
"X1094","HN",0.120906136491057
"X1095","HN",0.120885377662957
"X1096","HN",0.120768207142154
"X1097","HN",0.120846272673003
"X1098","HN",0.120926099486359
"X1099","HN",0.120916331834546
"X1100","HN",0.120928069211602
"X1101","HN",0.121001934239023
"X1102","HN",0.121062464512296
"X1103","HN",0.121114493381244
"X1104","HN",0.121101543010648
"X1105","HN",0.121056615349833
"X1106","HN",0.121028592592649
"X1107","HN",0.121005803070008
"X1108","HN",0.120975588337941
"X1109","HN",0.121016512833982
"X1110","HN",0.1210718958751
"X1111","HN",0.121062654528634
"X1112","HN",0.121067344491108
"X1113","HN",0.121120564619187
"X1114","HN",0.121071039616567
"X1115","HN",0.120919657067323
"X1116","HN",0.120881087501349
"X1117","HN",0.120847119016435
"X1118","HN",0.120843476544838
"X1119","HN",0.120926335491459
"X1120","HN",0.120905566843509
"X1121","HN",0.120825471279467
"X1122","HN",0.120682220615794
"X1123","HN",0.120544762128336
"X1124","HN",0.120463920459473
"X1125","HN",0.120485023022525
"X1126","HN",0.120439090226769
"X1127","HN",0.120447237120111
"X1128","HN",0.120539117895568
"X1129","HN",0.120564327286752
"X1130","HN",0.120555305345305
"X1131","HN",0.12059119478593
"X1132","HN",0.120678485688866
"X1133","HN",0.120703265955618
"X1134","HN",0.12073743841504
"X1135","HN",0.120711872614396
"X1136","HN",0.120641768744452
"X1137","HN",0.120580041863553
"X1138","HN",0.120590564423089
"X1139","HN",0.120683553540085
"X1140","HN",0.120837885225119
"X1141","HN",0.120975882276313
"X1142","HN",0.121087540442727
"X1143","HN",0.121233477921004
"X1144","HN",0.121329477734482
"X1145","HN",0.12135520255002
"X1146","HN",0.121532698680356
"X1147","HN",0.121716813118187
"X1148","HN",0.121926192376045
"X1149","HN",0.122202926980714
"X1150","HN",0.122490715520015
"X1151","HN",0.12266413900645
"X1152","HN",0.122831254857985
"X1153","HN",0.122969953053751
"X1154","HN",0.123129033435069
"X1155","HN",0.123257809894892
"X1156","HN",0.123452081822517
"X1157","HN",0.123581485056815
"X1158","HN",0.123769478126343
"X1159","HN",0.123875570888574
"X1160","HN",0.123902915384656
"X1161","HN",0.123920954161169
"X1162","HN",0.123870740978741
"X1163","HN",0.123855608412875
"X1164","HN",0.123885930920765
"X1165","HN",0.123927263461887
"X1166","HN",0.123902324848032
"X1167","HN",0.123887707632281
"X1168","HN",0.123814172964964
"X1169","HN",0.123719302535622
"X1170","HN",0.123614982266099
"X1171","HN",0.123564979141049
"X1172","HN",0.123500517397417
"X1173","HN",0.123528483244923
"X1174","HN",0.123503058431227
"X1175","HN",0.123511559565869
"X1176","HN",0.12351674558547
"X1177","HN",0.123492166227193
"X1178","HN",0.123481086232583
"X1179","HN",0.123454418591713
"X1180","HN",0.123418704209813
"X1181","HN",0.123398067192824
"X1182","HN",0.123341217453165
"X1183","HN",0.123313821877953
"X1184","HN",0.123280327580122
"X1185","HN",0.123255453683415
"X1186","HN",0.123233810442377
