"","genotype","CHL_blups_HN","CHL_blups_LN"
"184","BGEM-0108-S X Mo17",501.283149635932,320.481866770456
"185","BGEM-0109-N",392.658615299572,331.838204374791
"186","BGEM-0109-N X B73",499.72893183068,309.124721976425
"187","BGEM-0110-N",426.235033975688,354.990188931967
"188","BGEM-0110-N X B73",502.565320356379,321.231911437017
"189","BGEM-0111-S",518.495730568973,342.032547317051
"190","BGEM-0111-S X Mo17",514.513862992156,319.79483187486
"191","BGEM-0112-S",507.916721153392,341.854924079899
"192","BGEM-0112-S X Mo17",511.487836715628,307.276809443926
"193","BGEM-0113-S",496.648893788125,312.616511749373
"194","BGEM-0113-S X Mo17",521.244569964461,327.521845244388
"195","BGEM-0114-S",450.548377152207,353.757376937281
"196","BGEM-0114-S X Mo17",509.22004912295,331.309709330664
"197","BGEM-0115-S",500.2306033359,338.151456704615
"198","BGEM-0115-S X Mo17",504.337152279474,324.772895539482
"199","BGEM-0116-S",492.264734096798,349.015903600708
"200","BGEM-0116-S X Mo17",516.944937556236,314.781205508068
"201","BGEM-0117-S",496.410142136284,376.784754723804
"202","BGEM-0117-S X Mo17",516.098609530595,316.336744565184
"203","BGEM-0118-S",479.120264676032,368.888941070045
"204","BGEM-0118-S X Mo17",505.542667662065,311.856292294855
"205","BGEM-0120-N",423.985743092181,341.773437229426
"206","BGEM-0121-N",328.781394622258,300.626544838186
"207","BGEM-0121-N X B73",415.62575929395,326.944263291846
"208","BGEM-0122-N",349.028690709243,313.400949370086
"209","BGEM-0122-N X B73",422.715580401934,305.4019942143
"210","BGEM-0123-N",384.871861878577,302.693115234649
"211","BGEM-0123-N X B73",472.042909571367,316.424287781539
"212","BGEM-0124-N",429.92612885092,323.87583211463
"213","BGEM-0124-N X B73",494.125738908043,326.859044712868
"214","BGEM-0125-N",377.357680527639,312.51206689462
"215","BGEM-0125-N X B73",480.602005174135,312.369666336837
"216","BGEM-0126-N",369.469181899392,310.9660982878
"217","BGEM-0126-N X B73",454.927968198671,345.601630220148
"218","BGEM-0127-N",364.757134561377,311.812611560096
"219","BGEM-0127-N X B73",493.658898340112,349.425148757891
"220","BGEM-0129-N",422.973126338551,319.68738271108
"221","BGEM-0129-N X B73",473.354117881027,335.70573570288
"222","BGEM-0130-N",349.99300778104,317.12278454509
"223","BGEM-0130-N X B73",499.2817864089,314.378507654926
"224","BGEM-0131-N",451.147777971474,331.9257160015
"225","BGEM-0131-N X B73",490.521066937287,332.918065845092
"226","BGEM-0133-S",434.985265873316,336.067251420617
"227","BGEM-0134-S",404.40181294628,303.403501429037
"228","BGEM-0134-S X Mo17",490.824944493541,315.213605072587
"229","BGEM-0136-S",448.380622578063,328.061523694616
"230","BGEM-0136-S X Mo17",532.711433555235,339.465916215451
"231","BGEM-0137-S",396.161413447876,345.650823815357
"232","BGEM-0137-S X Mo17",507.307075714411,327.594151264566
"233","BGEM-0138-S",485.792899101328,354.972479100232
"234","BGEM-0140-N",325.425065965391,297.381848737587
"235","BGEM-0140-N X B73",440.713023158809,316.808379814375
"236","BGEM-0141-N",399.197767468578,336.645871256293
"237","BGEM-0141-N X B73",490.765779011097,306.612317184008
"238","BGEM-0143-N",390.001494248425,326.516197046854
"239","BGEM-0143-N X B73",501.27601539662,309.668577948685
"240","BGEM-0144-N",411.785752383599,311.773136724063
"241","BGEM-0144-N X B73",416.056016755492,318.046097939667
"242","BGEM-0145-N",341.269220373805,309.381702908462
"243","BGEM-0145-N X B73",441.511251515317,341.972991593541
"244","BGEM-0146-N",303.650635247792,340.547038855344
"245","BGEM-0146-N X B73",486.264757529528,315.013231498538
"246","BGEM-0147-S",364.192476371142,322.267094832654
"247","BGEM-0147-S X Mo17",495.863706367347,327.782744519615
"248","BGEM-0148-S",334.248753119682,319.370317624903
"249","BGEM-0148-S X Mo17",478.420143440581,332.517729618548
"250","BGEM-0149-S",441.110726070551,314.49585019024
"251","BGEM-0150-S",474.714502412592,312.694766655774
"252","BGEM-0151-N",401.11760210194,315.237445773685
"253","BGEM-0151-N X B73",461.432769038723,322.869869310988
"254","BGEM-0152-N",425.187188012487,307.33657360053
"255","BGEM-0152-N X B73",470.716247907668,305.843782112128
"256","BGEM-0153-S",404.500661233222,314.144120424066
"257","BGEM-0153-S X Mo17",493.117177645662,301.181868836839
"258","BGEM-0154-S",413.358127927458,300.988599652009
"259","BGEM-0154-S X Mo17",486.679638168295,311.342317166092
"260","BGEM-0155-S",417.087314298241,347.912627624598
"261","BGEM-0156-S",411.344705455666,298.984353053183
"262","BGEM-0156-S X Mo17",460.069149700053,306.401050388221
"263","BGEM-0157-N",401.941946928674,320.250266931996
"264","BGEM-0158-S",410.805083065698,320.970552698924
"265","BGEM-0158-S X Mo17",479.821168714917,297.049843874718
"266","BGEM-0159-S",435.057911473047,316.648434555957
"267","BGEM-0159-S X Mo17",468.256193376399,299.438589379697
"268","BGEM-0160-S",413.926868701068,318.427624188337
"269","BGEM-0160-S X Mo17",438.142143801027,319.368466574249
"270","BGEM-0161-S",388.158073842894,308.343909476427
"271","BGEM-0161-S X Mo17",444.31879310567,305.577389479042
"272","BGEM-0162-S",391.220555613476,321.852457540075
"273","BGEM-0162-S X Mo17",494.307903513884,316.283765501598
"274","BGEM-0163-S",427.511865256176,323.399189285949
"275","BGEM-0163-S X Mo17",492.290586063315,318.46898479094
"276","BGEM-0164-S",408.834893716311,326.592937315685
"277","BGEM-0164-S X Mo17",455.282141293405,304.536724720079
"278","BGEM-0165-S",406.163663580038,323.853731449052
"279","BGEM-0165-S X Mo17",382.597226484507,325.102537969175
"280","BGEM-0166-S",370.896399760936,302.775775080197
"281","BGEM-0167-S",356.293621588998,338.978177381902
"282","BGEM-0167-S X Mo17",486.706574581112,315.953825394962
"283","BGEM-0168-S",391.354451233998,326.991727211767
"284","BGEM-0168-S X Mo17",415.035522252233,309.643710947917
"285","BGEM-0169-S",396.572570812599,302.219322689216
"286","BGEM-0170-S",379.36509099785,328.239238236861
"287","BGEM-0170-S X Mo17",435.938594292252,314.901395058528
"288","BGEM-0171-S",503.887328527395,327.95905317521
"289","BGEM-0171-S X Mo17",502.283225277229,334.09623432513
"290","BGEM-0172-S",382.971270662162,314.659753882915
"291","BGEM-0173-S",367.102476770295,306.315489368228
"292","BGEM-0173-S X Mo17",444.757007367076,334.067289664041
"293","BGEM-0174-N",395.500178157827,318.37113548789
"294","BGEM-0174-N X B73",455.493544148789,316.204999263476
"295","BGEM-0175-S",352.293779147853,329.318082662275
"296","BGEM-0175-S X Mo17",441.706299843291,322.92737428158
"297","BGEM-0177-S X Mo17",465.93538698892,340.477072689936
"298","BGEM-0178-S",442.496165426281,323.010013881922
"299","BGEM-0178-S X Mo17",488.059494976558,329.062093285025
"300","BGEM-0179-S",437.337483757959,336.562494081475
"301","BGEM-0179-S X Mo17",469.514367290294,319.094167080715
"302","BGEM-0180-S",366.391405550311,310.304873035683
"303","BGEM-0180-S X Mo17",445.472924200301,324.329105336471
"304","BGEM-0181-N",389.118695046977,315.336854573416
"305","BGEM-0181-N X B73",454.161780950456,327.623348568499
"306","BGEM-0182-N",361.151095830826,322.056524685288
"307","BGEM-0182-N X B73",487.341980142678,303.796217101871
"308","BGEM-0183-N",326.841915750277,296.744667493968
"309","BGEM-0183-N X B73",447.834373889684,265.932368145728
"310","BGEM-0184-N",403.039812373748,335.12664829975
"311","BGEM-0184-N X B73",519.311068236042,336.555519299334
"312","BGEM-0185-N",359.736127368557,323.488169598753
"313","BGEM-0185-N X B73",501.792414249196,334.223994999113
"314","BGEM-0186-S",382.505132617198,319.754843044469
"315","BGEM-0187-S",435.653350114562,324.968219776946
"316","BGEM-0187-S X Mo17",482.72174710887,310.471359045661
"317","BGEM-0188-S",424.010220955929,332.359661892752
"318","BGEM-0188-S X Mo17",484.891112205636,297.38739595171
"319","BGEM-0189-S",328.249553599656,298.589476245692
"320","BGEM-0189-S X Mo17",408.872287635048,320.051013224617
"321","BGEM-0190-N",470.438836769873,322.243926728692
"322","BGEM-0191-N",343.644488592602,296.824754017894
"323","BGEM-0191-N X B73",420.517162909662,304.05542996309
"324","BGEM-0192-N",307.864763085361,298.585723727438
"325","BGEM-0193-N",315.379607250952,299.014000028711
"326","BGEM-0194-N X B73",497.337814759686,295.781803806555
"327","BGEM-0196-N",371.194739822188,309.797768588419
"328","BGEM-0196-N X B73",521.550974271534,316.959291314051
"329","BGEM-0197-S",470.727773978416,343.722158502357
"330","BGEM-0197-S X Mo17",494.826479250714,334.95620756389
"331","BGEM-0198-S",431.063792849437,331.996411783228
"332","BGEM-0198-S X Mo17",494.47984862182,322.844345682024
"333","BGEM-0199-S",398.820803813608,323.672195944509
