"genotype","CHL"
"BGEM-0149-S",302.159714514005
"BGEM-0150-S",297.047573590194
"BGEM-0151-N",304.264636944586
"BGEM-0151-N X B73",325.928276618292
"BGEM-0152-N",281.839040798004
"BGEM-0152-N X B73",277.601946675191
"BGEM-0153-S",301.16137540459
"BGEM-0153-S X Mo17",264.369713310216
"BGEM-0154-S",263.821143912867
"BGEM-0154-S X Mo17",293.208821943595
"BGEM-0155-S",397.008882914603
"BGEM-0156-S",258.132351103871
"BGEM-0156-S X Mo17",279.183680062479
"BGEM-0157-N",318.492876610744
"BGEM-0158-S",320.537313903902
"BGEM-0158-S X Mo17",252.64149887549
"BGEM-0159-S",308.269544745285
"BGEM-0159-S X Mo17",259.421641727776
"BGEM-0160-S",313.319542680893
"BGEM-0160-S X Mo17",315.990001197581
"BGEM-0161-S",284.698232421631
"BGEM-0161-S X Mo17",276.845825898259
"BGEM-0162-S",323.040485879594
"BGEM-0162-S X Mo17",307.2344791524
"BGEM-0163-S",327.430682394595
"BGEM-0163-S X Mo17",313.43693936192
"BGEM-0164-S",336.495720018184
"BGEM-0164-S X Mo17",273.892034582942
"BGEM-0165-S",328.720841095806
"BGEM-0165-S X Mo17",332.265415678425
"BGEM-0166-S",268.893808489291
"BGEM-0167-S",371.649610097201
"BGEM-0167-S X Mo17",306.297987152301
"BGEM-0168-S",337.62763317421
"BGEM-0168-S X Mo17",288.38754952885
"BGEM-0169-S",267.314390885584
"BGEM-0170-S",341.168530662998
"BGEM-0170-S X Mo17",303.310800778436
"BGEM-0171-S",340.373261874796
"BGEM-0171-S X Mo17",357.792850868293
"BGEM-0172-S",302.624933788322
"BGEM-0173-S",278.940826256189
"BGEM-0173-S X Mo17",357.710695219403
"BGEM-0174-N",313.15920686539
"BGEM-0174-N X B73",307.010911449063
"BGEM-0175-S",344.230689986565
"BGEM-0175-S X Mo17",326.091496984177
"BGEM-0177-S X Mo17",375.904029116685
"BGEM-0178-S",326.326058721461
"BGEM-0178-S X Mo17",343.504097495735
"BGEM-0179-S",364.793007822648
"BGEM-0179-S X Mo17",315.211437827563
"BGEM-0180-S",290.264171962768
"BGEM-0180-S X Mo17",330.070127932027
"BGEM-0181-N",304.546795869238
"BGEM-0181-N X B73",339.420408092371
"BGEM-0182-N",323.619703880473
"BGEM-0182-N X B73",271.790200199921
"BGEM-0183-N",251.775295484498
"BGEM-0183-N X B73",164.318598756886
"BGEM-0184-N",360.717546667974
"BGEM-0184-N X B73",364.773210812383
"BGEM-0185-N",327.683241417982
"BGEM-0185-N X B73",358.15548289364
"BGEM-0186-S",317.086680461818
"BGEM-0187-S",331.884170992011
"BGEM-0187-S X Mo17",290.736720808264
"BGEM-0188-S",352.86381630169
"BGEM-0188-S X Mo17",253.599596461575
"BGEM-0189-S",257.011544739918
"BGEM-0189-S X Mo17",317.927320925946
"BGEM-0190-N",324.151620161398
"BGEM-0191-N",252.002610647052
"BGEM-0191-N X B73",272.525942129963
"BGEM-0192-N",257.000893705823
"BGEM-0193-N",258.21650018078
"BGEM-0194-N X B73",249.042332372972
"BGEM-0196-N",288.824822067054
"BGEM-0196-N X B73",309.15187114719
"BGEM-0197-S",385.114782346895
"BGEM-0197-S X Mo17",360.23377284838
"BGEM-0198-S",351.832778198827
"BGEM-0198-S X Mo17",325.855831123312
"BGEM-0199-S",328.205576221002
"BGEM-0199-S X Mo17",303.414478428841
"BGEM-0200-S",303.954603674426
"BGEM-0200-S X Mo17",370.4834509035
"BGEM-0201-N",327.855508221167
"BGEM-0202-N",280.769081240508
"BGEM-0202-N X B73",288.980698373622
"BGEM-0203-N",249.365140395558
"BGEM-0204-N",272.099819592316
"BGEM-0205-N",316.755574842891
"BGEM-0205-N X B73",347.596775376972
"BGEM-0206-N",350.074748348369
"BGEM-0207-N",372.665587545591
"BGEM-0207-N X B73",320.768921006427
"BGEM-0208-N",304.924659506226
"BGEM-0209-N",306.108852969531
"BGEM-0209-N X B73",330.495973733168
"BGEM-0210-N",380.503079065597
"BGEM-0210-N X B73",351.690289704324
"BGEM-0211-N",272.878654203831
"BGEM-0211-N X B73",276.908278217692
"BGEM-0212-N",276.995458116295
"BGEM-0213-S",239.61189134597
"BGEM-0214-S",313.380617349737
"BGEM-0214-S X Mo17",283.35856920206
"BGEM-0215-N",329.512741492056
"BGEM-0215-N X B73",311.142377855044
"BGEM-0216-N",308.926215594408
"BGEM-0216-N X B73",241.550148288087
"BGEM-0217-S",351.533182165664
"BGEM-0218-S",390.374252708165
"BGEM-0218-S X Mo17",335.884189464795
"BGEM-0219-S",336.775195516507
"BGEM-0219-S X Mo17",309.114932692951
"BGEM-0220-S",403.585062590012
"BGEM-0220-S X Mo17",345.828321113199
"BGEM-0221-S",402.252966509685
"BGEM-0221-S X Mo17",274.936627744794
"BGEM-0222-S",299.481550166008
"BGEM-0222-S X Mo17",293.736981549125
"BGEM-0223-N",326.666054484304
"BGEM-0223-N X B73",293.916052605844
"BGEM-0224-N",326.914374028573
"BGEM-0224-N X B73",288.1658169016
"BGEM-0225-N",280.802870720998
"BGEM-0226-S",347.875025509111
"BGEM-0226-S X Mo17",255.555955872147
"BGEM-0227-N",252.415188528113
"BGEM-0227-N X B73",354.292164581975
"BGEM-0228-N",331.255162165315
"BGEM-0228-N X B73",305.087833601607
"BGEM-0229-N",237.686675315238
"BGEM-0229-N X B73",326.255595084147
"BGEM-0230-N",312.500467452186
"BGEM-0230-N X B73",250.703137857529
"BGEM-0231-N",278.936442353511
"BGEM-0231-N X B73",251.539765089703
"BGEM-0233-S",356.290498860877
"BGEM-0233-S X Mo17",275.633588119066
"BGEM-0235-N",312.858349639978
"BGEM-0235-N X B73",272.2506961237
"BGEM-0236-S",341.980436088264
"BGEM-0236-S X Mo17",301.123083514577
"BGEM-0237-N",322.374101459581
"BGEM-0237-N X B73",297.859609725582
"BGEM-0238-N",292.855594451291
"BGEM-0238-N X B73",270.957055622885
"BGEM-0239-N",252.753081823912
"BGEM-0239-N X B73",260.528749669674
"BGEM-0240-N",397.998627087896
"BGEM-0240-N X B73",382.23894412483
"BGEM-0242-N",398.385533872202
"BGEM-0242-N X B73",277.824880022589
"BGEM-0243-S",438.732779855082
"BGEM-0243-S X Mo17",311.86632979468
"BGEM-0244-S",337.187449290662
"BGEM-0244-S X Mo17",350.693317724827
"BGEM-0245-S",382.449558745459
"BGEM-0245-S X Mo17",361.740605762116
"BGEM-0246-N",311.110108450169
"BGEM-0247-N",292.012671928079
"BGEM-0248-N",393.449787049209
"BGEM-0249-N",316.191857342653
"BGEM-0249-N X B73",299.279848973973
"BGEM-0250-S",337.119601374575
"BGEM-0250-S X Mo17",190.215117157948
"BGEM-0251-S",345.971464637742
"BGEM-0251-S X Mo17",316.071586393447
"BGEM-0252-S",298.058557433831
"BGEM-0252-S X Mo17",293.06008039355
"BGEM-0253-N",322.744665537955
"BGEM-0254-S",354.381349090841
"BGEM-0254-S X Mo17",302.715299960057
"BGEM-0255-S",287.96443139346
"BGEM-0255-S X Mo17",325.184192740384
"BGEM-0256-N",288.698655406713
"BGEM-0256-N X B73",246.095233812782
"BGEM-0257-S",289.584378384888
"BGEM-0257-S X Mo17",279.060550810856
"BGEM-0258-S",284.148269631118
"BGEM-0258-S X Mo17",318.362140382899
"BGEM-0259-N",385.354466778018
"BGEM-0260-N",346.800518468684
"BGEM-0261-S",425.359724717066
"BGEM-0261-S X Mo17",262.253813414973
"BGEM-0262-S",261.63080481786
"BGEM-0262-S X Mo17",296.142216453568
"BGEM-0263-S",367.85333793012
"BGEM-0263-S X Mo17",393.50487030595
"BGEM-0264-S",281.933580292569
"BGEM-0264-S X Mo17",327.362463085265
"BGEM-0266-S",304.757869637189
"BGEM-0268-S",305.079009568708
"BGEM-0269-S",317.56821939355
"BGEM-0270-S",303.169653586616
"BGEM-0272-S",397.368064568858
"BGEM-0276-S",227.344533824403
"BGEM-0277-S",331.439715590256
"BGEM-0278-S",270.249479238326
"BGEM-0279-S",325.533856494139
"BGEM-0280-S",360.845943585081
"BGEM-0281-N",263.28445509315
"BGEM-0282-N",355.560755673736
"BGEM-0283-N",336.767313953239
"BGEM-0284-N",271.081953493105
"BGEM-0285-N",280.432063690077
"BGEM-0286-N",246.874548330731
"BGEM-0287-N",331.904295922008
"BGEM-0288-S",289.400050186977
"BGEM-0289-N",301.950169786047
"BGEM-0290-N",328.518940064941
"BGEM-0291-N",393.151888762273
"BGEM-0292-S",344.862896202651
"BGEM-0293-N",270.855340247171
"BGEM-0294-N",301.420594982926
"BGEM-0295-S",399.30393200124
