"bands","ASD","H2"
"X493","1",0.349102177108122
"X494","1",0.350847815714487
"X495","1",0.352188826181619
"X496","1",0.353355626064021
"X497","1",0.355027447168695
"X498","1",0.357070846755617
"X499","1",0.358996157257023
"X500","1",0.360455579846057
"X501","1",0.361197263076032
"X502","1",0.363134707586576
"X503","1",0.365279090306532
"X504","1",0.366218263367257
"X505","1",0.367297404386827
"X506","1",0.368739486120017
"X507","1",0.370205257539025
"X508","1",0.371157478802551
"X509","1",0.372633914770971
"X510","1",0.374470384788404
"X511","1",0.376485730230093
"X512","1",0.37877149875913
"X513","1",0.380268773237245
"X514","1",0.381621650108049
"X515","1",0.383899122645926
"X516","1",0.386094979356573
"X517","1",0.38837518648491
"X518","1",0.390816178113551
"X519","1",0.393315440813191
"X520","1",0.395560259715737
"X521","1",0.397837036737137
"X522","1",0.40036266766415
"X523","1",0.402748105489468
"X524","1",0.404746967264602
"X525","1",0.406603006008591
"X526","1",0.408667733931681
"X527","1",0.410727719165955
"X528","1",0.412592982813833
"X529","1",0.414180431805338
"X530","1",0.415529021238528
"X531","1",0.416808652913884
"X532","1",0.418030560651719
"X533","1",0.419193621677004
"X534","1",0.420439944355257
"X535","1",0.421605352966494
"X536","1",0.422637618724617
"X537","1",0.42359994793597
"X538","1",0.424517386117607
"X539","1",0.425447200121273
"X540","1",0.426381462016996
"X541","1",0.427031218538196
"X542","1",0.427752241105809
"X543","1",0.428571632518858
"X544","1",0.429339271201847
"X545","1",0.43020877546224
"X546","1",0.431072904809833
"X547","1",0.431850267224883
"X548","1",0.432599978929657
"X549","1",0.433265205963746
"X550","1",0.433789653134015
"X551","1",0.434130777088321
"X552","1",0.434388920521488
"X553","1",0.43454460250421
"X554","1",0.434621455725036
"X555","1",0.434570333144031
"X556","1",0.434378621259553
"X557","1",0.434040095747317
"X558","1",0.433598416555187
"X559","1",0.433221631206345
"X560","1",0.432896649461942
"X561","1",0.432650503875576
"X562","1",0.432396451033414
"X563","1",0.432313044173374
"X564","1",0.43238347695799
"X565","1",0.43243764747372
"X566","1",0.432213939242125
"X567","1",0.432119191078203
