"PLOT.ID","rows","ranges","Block","Rep","Group","Trt","year","genotype","note","Calibration","ASD","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"1118","18","3","1","1","Inbred","HN","2022","BGEM-0061-N","BGEM_Tall_late","0","1",57.3,6.85,89.5,168.5,197.5
"1119","19","3","1","1","Inbred","HN","2022","BGEM-0087-N","BGEM_Tall_late","0","1",63,7.35,102,190.5,228
"1120","20","3","1","1","Inbred","HN","2022","BGEM-0238-N","BGEM_Tall_late","0","1",80.85,9.35,97.5,182.5,225
"1121","21","3","1","1","Inbred","HN","2022","BGEM-0257-S","BGEM_Tall_late","0","1",69.7,7.25,65,139.5,178
"1122","22","3","1","1","Inbred","HN","2022","B73","BGEM_Tall_late","0","2",75.85,8.05,85.5,161,202.5
"1123","23","3","1","1","Inbred","HN","2022","BGEM-0240-N","BGEM_Tall_late","0","2",72.65,8,59.5,144,178.5
"1124","24","3","1","1","Inbred","HN","2022","BGEM-0168-S","BGEM_Tall_late","0","1",85.55,7.45,107,195,235
"1125","25","3","1","1","Inbred","HN","2022","BGEM-0033-S","BGEM_Tall_late","0","1",72.1,8.25,113.5,181,229
"1126","26","3","1","1","Inbred","HN","2022","BGEM-0154-S","BGEM_Short_early","0","1",75.25,8.8,80,179.5,224
"1127","27","3","1","1","Inbred","HN","2022","BGEM-0180-S","BGEM_Short_early","0","2",76.1,9.2,69,173,217
"1128","28","3","1","1","Inbred","HN","2022","BGEM-0137-S","BGEM_Short_early","0","2",70.25,9.2,62,169.5,215
"1129","29","3","1","1","Inbred","HN","2022","BGEM-0030-S","BGEM_Short_early","0","1",75.75,7.45,87.5,167.5,205
"1130","30","3","1","1","Inbred","HN","2022","BGEM-0327-N","BGEM_Short_early","0","1",64.75,7.55,69,158.5,189.5
"1131","31","3","1","1","Inbred","HN","2022","Mo17","BGEM_Short_early","0","1",64.25,8.95,78.5,152.5,202
"1132","32","3","1","1","Inbred","HN","2022","BGEM-0111-S","BGEM_Short_early","0","1",71.95,6.95,60,161,206
"1133","33","3","1","1","Inbred","HN","2022","BGEM-0050-S","BGEM_Short_early","0","1",87.95,9.65,80,182.5,231.5
"1134","34","3","1","1","Inbred","HN","2022","BGEM-0040-N","BGEM_Short_early","0","1",70.55,7.45,92,170,207
