"genotype","CHL_LN","CHL_HN"
"BGEM-0180-S",279.713331818755,351.599723378435
"BGEM-0181-N",303.281497146048,375.463504113941
"BGEM-0182-N",324.764513471725,335.478272349223
"BGEM-0183-N",252.149039193771,297.117033541481
"BGEM-0184-N",365.140369635565,387.859828084747
"BGEM-0185-N",321.724446354278,334.463544386243
"BGEM-0186-S",317.807166155883,366.287897904587
"BGEM-0187-S",334.922237399562,435.345735629382
"BGEM-0188-S",359.480968355024,422.300344246716
"BGEM-0189-S",261.624627943165,290.456122391929
"BGEM-0190-N",325.396217198654,484.618048114351
"BGEM-0191-N",242.571621452276,310.006566530586
"BGEM-0192-N",253.942782171818,272.20133183404
"BGEM-0193-N",252.821316276881,263.594346080711
"BGEM-0196-N",299.031756951285,348.836836239231
"BGEM-0197-S",384.839000584838,485.06145298713
"BGEM-0198-S",355.911767967843,441.115226700444
"BGEM-0199-S",325.949133468426,398.975106822944
"BGEM-0200-S",303.351982842152,413.149737736387
"BGEM-0201-N",336.210151202322,383.35256264421
"BGEM-0202-N",273.104180496632,388.008891886707
"BGEM-0203-N",264.245533359453,364.648497063736
"BGEM-0204-N",270.625264952579,380.313164444852
"BGEM-0205-N",310.312219657887,415.009103806668
"BGEM-0206-N",356.68155959142,424.833054026623
"BGEM-0207-N",385.496673587397,460.522287604809
"BGEM-0208-N",312.379047270702,456.085491928072
"BGEM-0209-N",303.182474620265,375.816383563307
"BGEM-0210-N",388.976928308203,454.117973901711
"BGEM-0211-N",270.9674124241,359.766503042854
"BGEM-0212-N",276.08606605085,371.903001457902
"BGEM-0213-S",237.647220784285,346.550041963663
"BGEM-0214-S",316.46160640257,443.31026682233
"BGEM-0215-N",333.833438814541,386.13328485466
"BGEM-0216-N",302.697023865886,361.556427646861
"BGEM-0217-S",355.238125597249,361.156712328983
"BGEM-0218-S",400.960561838378,433.781736439349
"BGEM-0219-S",344.544452031555,487.363237865974
"BGEM-0220-S",410.062811012852,422.461598673342
"BGEM-0221-S",404.093770370234,455.492196824971
"BGEM-0222-S",322.725529217882,387.387841889503
"BGEM-0223-N",320.605736690803,354.371418671052
"BGEM-0224-N",327.308249413022,339.602275044173
"BGEM-0225-N",287.624594496247,413.789165569252
"BGEM-0226-S",352.843433935278,442.236241094156
"BGEM-0227-N",278.642806756021,381.026703161121
"BGEM-0228-N",338.29456102462,354.569147524879
"BGEM-0229-N",234.421775764866,403.818836082594
"BGEM-0230-N",316.718900607507,353.296150445876
"BGEM-0231-N",276.846770524244,326.70256517702
"BGEM-0233-S",361.573605670624,383.673854229465
"BGEM-0235-N",310.188882182657,296.60087030655
"BGEM-0236-S",341.400920877428,388.267936657018
"BGEM-0237-N",330.930090226272,373.00144201668
"BGEM-0238-N",291.09525564009,360.6431272563
"BGEM-0239-N",254.325846879378,383.147811157448
"BGEM-0240-N",400.905734419313,458.604054867772
"BGEM-0242-N",394.57082294156,480.414542189904
"BGEM-0243-S",440.515624925634,433.300796759622
"BGEM-0244-S",345.342483660995,434.647857662633
"BGEM-0245-S",380.914290859508,401.908681285157
"BGEM-0246-N",307.477479192134,319.846134522238
"BGEM-0247-N",296.539554148966,332.156301579695
"BGEM-0248-N",402.914013328581,433.213471364295
"BGEM-0249-N",318.477852437895,352.379548734989
"BGEM-0250-S",342.513739854283,387.038976457608
"BGEM-0251-S",352.303594865372,331.69048853894
"BGEM-0252-S",301.613043325339,429.110905042647
"BGEM-0253-N",328.527825861437,381.771981510669
"BGEM-0254-S",356.421876208682,385.274158264786
"BGEM-0255-S",293.162343529536,356.870330427058
"BGEM-0256-N",295.209814553896,345.427422531977
"BGEM-0257-S",286.002717761294,375.510210646762
"BGEM-0258-S",284.343540751107,466.395347837818
"BGEM-0259-N",391.917278242677,335.468053101803
"BGEM-0260-N",355.924774593918,464.310728851323
"BGEM-0261-S",428.296873127147,443.827834138437
"BGEM-0262-S",261.493060662951,359.272449372503
"BGEM-0263-S",371.550922360538,403.083443576993
"BGEM-0264-S",284.275966971286,374.783991853467
"BGEM-0266-S",306.247646102163,375.951231980249
"BGEM-0268-S",317.918562991152,385.243148372386
"BGEM-0269-S",310.429516718304,347.417808600158
