"genotype","CHL_blups_HN","CHL_blups_LN"
"BGEM-0219-S",460.386097441681,336.947254719952
"BGEM-0220-S",415.443967211101,367.655934846007
"BGEM-0221-S",438.316508832407,364.858224973483
"BGEM-0222-S",391.156609223479,326.720650577265
"BGEM-0223-N",368.293883250912,325.727096531348
"BGEM-0224-N",358.066764421089,328.868587289476
"BGEM-0225-N",409.438608597227,310.268721785826
"BGEM-0226-S",429.13722004716,340.837016072584
"BGEM-0227-N",386.751741662319,306.058926989935
"BGEM-0228-N",368.430803612394,334.017909316025
"BGEM-0229-N",402.534501831892,285.33237771938
"BGEM-0230-N",367.549297363562,323.905323095014
"BGEM-0231-N",349.134163519199,305.217118632797
"BGEM-0233-S",388.584801805845,344.928877581857
"BGEM-0235-N",328.289785659734,320.84468100715
"BGEM-0236-S",391.766044272408,335.473870859621
"BGEM-0237-N",381.194527145481,330.566156531608
"BGEM-0238-N",372.636823545068,311.895432597105
"BGEM-0239-N",388.220535255052,294.661484286843
"BGEM-0240-N",440.471362410196,363.363981561874
"BGEM-0242-N",455.574367108034,360.39478677095
"BGEM-0243-S",422.949735294135,381.929273432721
"BGEM-0244-S",423.882528167855,337.321294888539
"BGEM-0245-S",401.211786000137,353.99392322889
"BGEM-0246-N",344.386323507183,319.573837102885
"BGEM-0247-N",352.910686496141,314.447194027326
"BGEM-0248-N",422.889265491861,364.305268791706
"BGEM-0249-N",366.914582524728,324.729749865714
"BGEM-0250-S",390.915032032699,335.995452940274
"BGEM-0251-S",352.588127149396,340.583991644393
"BGEM-0252-S",420.048380851647,316.825155848451
"BGEM-0253-N",387.2678210258,329.440206964113
"BGEM-0254-S",389.692956750136,342.514244269873
"BGEM-0255-S",370.024292820997,312.864283798149
"BGEM-0256-N",362.100476670362,313.823940507079
"BGEM-0257-S",382.931762258401,309.50854258366
"BGEM-0258-S",445.86656209514,308.730880614244
"BGEM-0259-N",355.203959363352,359.151061246911
"BGEM-0260-N",444.423035873959,342.28125103385
"BGEM-0261-S",430.239342932806,376.202302453083
"BGEM-0262-S",371.68767673269,298.020782030207
"BGEM-0263-S",402.025268071876,349.605280219389
"BGEM-0264-S",382.42888097543,308.699208551303
"BGEM-0266-S",383.237154209215,318.997410105085
"BGEM-0268-S",389.671483477042,324.467608979023
"BGEM-0269-S",363.478749869592,320.95746724138
"BGEM-0270-S",426.938031253671,320.487165002859
"BGEM-0272-S",445.944935975165,348.82438077736
"BGEM-0276-S",367.483381758039,287.789387055811
"BGEM-0277-S",381.226946701697,332.454301694073
"BGEM-0278-S",315.558621163588,309.857018748465
"BGEM-0279-S",482.335105465434,331.910287115962
"BGEM-0280-S",386.072629185477,352.513426962859
"BGEM-0281-N",387.034600895887,277.342387490917
"BGEM-0282-N",461.439776193574,342.479718204139
"BGEM-0283-N",388.344588475995,331.715393994432
"BGEM-0284-N",364.543088143021,297.639471360702
"BGEM-0285-N",390.976523089121,307.979178230555
"BGEM-0286-N",401.983677801157,297.173840822096
"BGEM-0287-N",375.119500675743,330.834143808895
"BGEM-0288-S",408.937566112898,311.858808673287
"BGEM-0289-N",365.317314033825,313.437535366015
"BGEM-0290-N",440.056626126966,328.359450931706
"BGEM-0291-N",401.748919784689,357.631403364473
"BGEM-0292-S",368.669285203012,337.632564390816
"BGEM-0293-N",372.74076264125,305.056185945424
"BGEM-0294-N",406.402123708501,317.827343801114
"BGEM-0295-S",388.253153732723,362.027855761175
"BGEM-0296-S",463.551911741991,354.499696765344
"BGEM-0297-N",429.136406324608,335.256045650843
"BGEM-0298-S",350.419295384253,317.652404935608
"BGEM-0299-N",419.954984622753,345.983743097142
"BGEM-0300-S",344.42245288454,318.402129433624
"BGEM-0301-S",342.472148178729,282.340706110441
"BGEM-0302-S",406.412092560049,327.466135674436
"BGEM-0303-N",405.451193891521,332.389471659496
"BGEM-0304-N",321.774159619809,313.597698295612
"BGEM-0305-S",355.95486402529,322.568162172056
"BGEM-0306-S",438.037376832796,348.599850005809
"BGEM-0307-S",437.14424655619,321.899143366848
"BGEM-0308-S",456.416753574126,326.363187606435
"BGEM-0309-S",390.072630002482,328.540435521208
"BGEM-0310-S",454.018427464075,342.518585565561
"BGEM-0311-N",410.825550281591,335.665118828764
"BGEM-0312-S",351.902444272521,327.900929003221
"BGEM-0313-S",383.919445015222,362.592529579464
"BGEM-0314-S",419.538015224093,295.899027008269
"BGEM-0315-S",458.779434543603,352.103223766675
"BGEM-0316-S",349.145355744983,323.092760572913
"BGEM-0317-S",435.522090951911,342.095088849266
"BGEM-0318-S",408.567712669527,309.396996527073
"BGEM-0319-S",424.728916813843,338.898953883411
"BGEM-0320-N",402.33836136331,346.254422078171
"BGEM-0321-S",470.082066599514,318.460098022277
"BGEM-0322-S",402.797678789681,330.659733024873
"BGEM-0323-S",411.41634606666,371.507456289125
"BGEM-0324-N",356.852836452249,325.502985297573
"BGEM-0325-N",417.76644544201,324.485520473456
"BGEM-0326-N",369.283769417631,320.439507341371
"BGEM-0327-N",373.544704529684,311.635788112077
"BGEM-0328-S",385.532717468921,329.492766063649
"Mo17",409.268704198999,345.201014730478
