"genotype","CHL_LN","CHL_HN"
"BGEM-0137-S X Mo17",339.33753534969,530.056145922512
"BGEM-0138-S",417.047351399811,502.042041704476
"BGEM-0140-N",253.583851417113,293.223397538534
"BGEM-0140-N X B73",308.723528519764,443.342498352124
"BGEM-0141-N",365.029663068971,389.284529020532
"BGEM-0141-N X B73",279.783333333368,508.51734301679
"BGEM-0143-N",336.277902764689,377.309850135994
"BGEM-0143-N X B73",288.458131270255,522.202963561579
"BGEM-0144-N",294.431647121294,405.675633716122
"BGEM-0144-N X B73",312.236630138521,411.236043175622
"BGEM-0145-N",287.643873849607,313.854435427013
"BGEM-0145-N X B73",380.150000000035,447.526421912627
"BGEM-0146-N",376.102618960311,264.870410464873
"BGEM-0146-N X B73",292.069782455903,519.322055022074
"BGEM-0147-S",324.217379805594,343.703334321689
"BGEM-0147-S X Mo17",339.872832729649,515.155471485397
"BGEM-0148-S",315.995255163662,304.712923536816
"BGEM-0148-S X Mo17",353.312470944472,492.441806976986
"BGEM-0149-S",302.159714514006,443.860356461115
"BGEM-0150-S",297.047573590194,487.61660656055
"BGEM-0151-N",304.264636944587,391.784389854977
"BGEM-0151-N X B73",325.928276618293,470.322156039704
"BGEM-0152-N",281.839040798005,423.125951296514
"BGEM-0152-N X B73",277.601946675192,482.410387405361
"BGEM-0153-S",301.161375404591,396.189548963966
"BGEM-0153-S X Mo17",264.369713310216,511.579153263657
"BGEM-0154-S",263.821143912868,407.723060078177
"BGEM-0154-S X Mo17",293.208821943596,503.196685039564
"BGEM-0155-S",397.008882914603,412.578919427034
"BGEM-0156-S",258.132351103872,405.101336366687
"BGEM-0156-S X Mo17",279.18368006248,468.546555934051
"BGEM-0157-N",318.492876610744,392.857788214721
"BGEM-0158-S",320.537313903903,404.398681640791
"BGEM-0158-S X Mo17",252.641498875491,494.266114211848
"BGEM-0159-S",308.269544745285,435.978847352196
"BGEM-0159-S X Mo17",259.421641727776,479.207093816188
"BGEM-0160-S",313.319542680894,408.463630521169
"BGEM-0160-S X Mo17",315.990001197582,439.994897207253
"BGEM-0161-S",284.698232421632,374.909490025219
"BGEM-0161-S X Mo17",276.84582589826,448.037654336676
"BGEM-0162-S",323.040485879595,378.897217979203
"BGEM-0162-S X Mo17",307.2344791524,513.129624804696
"BGEM-0163-S",327.430682394596,426.152967005699
"BGEM-0163-S X Mo17",313.436939361921,510.502829351751
"BGEM-0164-S",336.495720018185,401.833252772394
"BGEM-0164-S X Mo17",273.892034582943,462.313282181204
"BGEM-0165-S",328.720841095807,398.35498257067
"BGEM-0165-S X Mo17",332.265415678427,367.668582774152
"BGEM-0166-S",268.893808489292,352.43266716528
"BGEM-0167-S",371.649610097202,333.418053827358
"BGEM-0167-S X Mo17",306.297987152302,503.231759562262
"BGEM-0168-S",337.627633174211,379.071566546433
"BGEM-0168-S X Mo17",288.38754952885,409.907233810414
"BGEM-0169-S",267.314390885585,385.86620007232
"BGEM-0170-S",341.168530662999,363.459944814241
"BGEM-0170-S X Mo17",303.310800778437,437.125604707773
"BGEM-0171-S",340.373261874797,525.603214452285
"BGEM-0171-S X Mo17",357.792850868293,523.514474714074
"BGEM-0172-S",302.624933788323,368.155634301311
"BGEM-0173-S",278.940826256189,347.492512774691
"BGEM-0173-S X Mo17",357.710695219404,448.608263205871
"BGEM-0174-N",313.159206865391,384.46981293031
"BGEM-0174-N X B73",307.010911449063,462.588554701701
"BGEM-0175-S",344.230689986566,328.209766983892
"BGEM-0175-S X Mo17",326.091496984177,444.635866769463
"BGEM-0177-S X Mo17",375.904029116686,476.185118437907
"BGEM-0178-S",326.326058721462,445.664368912868
"BGEM-0178-S X Mo17",343.504097495735,504.993428327855
"BGEM-0179-S",364.793007822649,438.947130857093
"BGEM-0179-S X Mo17",315.211437827564,480.845391008879
"BGEM-0180-S",290.264171962769,346.566610583717
"BGEM-0180-S X Mo17",330.070127932027,449.540474981302
"BGEM-0181-N",304.546795869239,376.160336990419
"BGEM-0181-N X B73",339.420408092371,460.854435209108
"BGEM-0182-N",323.619703880474,339.743082764987
"BGEM-0182-N X B73",271.790200199922,504.059135759016
"BGEM-0183-N",251.775295484499,295.068310232565
"BGEM-0183-N X B73",164.318598756887,452.615372937833
"BGEM-0184-N",360.717546667974,394.287344062886
"BGEM-0184-N X B73",364.773210812384,545.686820690189
"BGEM-0185-N",327.683241417983,337.900619784408
"BGEM-0185-N X B73",358.155482893641,522.875378385269
"BGEM-0186-S",317.086680461819,367.548665231267
"BGEM-0187-S",331.884170992012,436.754181703067
"BGEM-0187-S X Mo17",290.736720808265,498.043024055164
"BGEM-0188-S",352.863816301691,421.59339542061
"BGEM-0188-S X Mo17",253.599596461576,500.867804245487
"BGEM-0189-S",257.011544739919,296.901227853487
"BGEM-0189-S X Mo17",317.927320925947,401.881944254084
"BGEM-0190-N",324.151620161399,482.049163982072
"BGEM-0191-N",252.002610647052,316.947326808536
"BGEM-0191-N X B73",272.525942129964,417.045004194322
"BGEM-0192-N",257.000893705824,270.357723251828
"BGEM-0193-N",258.216500180781,280.14297468967
"BGEM-0194-N X B73",249.042332372973,517.074941929205
"BGEM-0196-N",288.824822067055,352.821142621192
"BGEM-0196-N X B73",309.151871147192,548.603453859349
"BGEM-0197-S",385.114782346895,482.425395767195
"BGEM-0197-S X Mo17",360.233772848381,513.804874199446
"BGEM-0198-S",351.832778198827,430.778013623194
"BGEM-0198-S X Mo17",325.855831123313,513.353518484669
"BGEM-0199-S",328.205576221003,388.793675974809
"BGEM-0199-S X Mo17",303.414478428842,468.503521282104
"BGEM-0200-S",303.954603674426,405.184955521785
"BGEM-0200-S X Mo17",370.483450903501,458.989729280839
"BGEM-0201-N",327.855508221167,380.796409661678
"BGEM-0202-N",280.769081240509,390.819799410659
"BGEM-0202-N X B73",288.980698373623,493.313853401709
"BGEM-0203-N",249.365140395559,354.348855649789
"BGEM-0204-N",272.099819592317,388.84211350769
"BGEM-0205-N",316.755574842892,420.806748989602
"BGEM-0205-N X B73",347.596775376973,499.19463234934
"BGEM-0206-N",350.07474834837,412.646472295485
"BGEM-0207-N",372.665587545592,467.386742515713
"BGEM-0207-N X B73",320.768921006427,530.277652460476
"BGEM-0208-N",304.924659506228,449.177675030592
"BGEM-0209-N",306.108852969531,375.597186341713
"BGEM-0209-N X B73",330.508309222488,442.192484124968
"BGEM-0210-N",380.503079065598,455.921631787233
"BGEM-0210-N X B73",351.702625193644,535.17047114852
"BGEM-0211-N",272.878654203832,365.155312224783
"BGEM-0211-N X B73",276.908278217693,421.44081596921
"BGEM-0212-N",276.995458116296,359.220620360206
"BGEM-0213-S",239.611891345971,339.403072513561
"BGEM-0214-S",313.380617349738,439.191941178113
"BGEM-0214-S X Mo17",283.358569202061,504.077513910148
"BGEM-0215-N",329.512741492057,383.824200965713
"BGEM-0215-N X B73",311.142377855045,515.189541641424
"BGEM-0216-N",308.926215594408,364.44042136017
"BGEM-0216-N X B73",241.550148288088,513.984219308423
"BGEM-0217-S",351.533182165665,347.803878489346
"BGEM-0218-S",390.374252708166,429.458203886563
"BGEM-0218-S X Mo17",335.884189464796,496.681406220621
"BGEM-0219-S",336.775195516508,477.228258510815
"BGEM-0219-S X Mo17",309.114932692952,486.196986220346
"BGEM-0220-S",403.585062590013,407.803296639701
"BGEM-0220-S X Mo17",345.8283211132,511.225075766368
"BGEM-0221-S",402.252966509686,462.645773127086
"BGEM-0221-S X Mo17",274.936627744794,449.670789335634
"BGEM-0222-S",299.481550166008,368.164361422174
"BGEM-0222-S X Mo17",293.736981549126,480.683094269207
"BGEM-0223-N",326.666054484305,352.188884411325
"BGEM-0223-N X B73",293.916052605845,470.355745342346
"BGEM-0224-N",326.914374028573,339.430435518618
"BGEM-0224-N X B73",288.165816901601,440.504149169637
"BGEM-0225-N",280.802870721,408.170291989803
"BGEM-0226-S",347.875025509112,427.618408752904
"BGEM-0226-S X Mo17",255.555955872149,475.441407977785
"BGEM-0227-N",252.415188528114,383.791183772122
"BGEM-0227-N X B73",354.292164581975,499.087512281106
"BGEM-0228-N",331.255162165315,359.751630613722
"BGEM-0228-N X B73",305.087833601607,456.736900169666
"BGEM-0229-N",237.68667531524,397.088248326595
"BGEM-0229-N X B73",326.255595084148,482.396711407273
"BGEM-0230-N",312.500467452187,347.759473963967
"BGEM-0230-N X B73",250.703137857529,516.815902803943
"BGEM-0231-N",278.936442353512,331.400458204725
"BGEM-0231-N X B73",251.539765089704,477.538707313654
"BGEM-0233-S",356.290498860878,376.286839684817
"BGEM-0233-S X Mo17",275.633588119066,452.632287063992
"BGEM-0235-N",312.858349639978,302.605181882941
"BGEM-0235-N X B73",272.250696123701,493.042464849635
"BGEM-0236-S",341.980436088264,387.425797853399
"BGEM-0236-S X Mo17",301.123083514578,481.464192587128
"BGEM-0237-N",322.374101459581,382.274895587345
"BGEM-0237-N X B73",297.859609725583,460.819918946926
"BGEM-0238-N",292.855594451292,360.011012546356
"BGEM-0238-N X B73",270.957055622886,502.423130753623
"BGEM-0239-N",252.753081823913,388.139849229779
"BGEM-0239-N X B73",260.528749669675,434.268658684141
"BGEM-0240-N",397.998627087897,460.93350360303
"BGEM-0240-N X B73",382.23894412483,458.713525469922
"BGEM-0242-N",398.385533872203,488.508597186126
"BGEM-0242-N X B73",277.82488002259,516.877247131416
"BGEM-0243-S",438.732779855083,431.683960412592
"BGEM-0243-S X Mo17",311.866329794681,488.432205210357
"BGEM-0244-S",337.187449290663,429.020019109533
"BGEM-0244-S X Mo17",350.693317724829,489.140831831448
"BGEM-0245-S",382.449558745459,402.839173131562
"BGEM-0245-S X Mo17",361.740605762117,459.267607854579
"BGEM-0246-N",311.110108450169,323.416274082912
